isolate_id,run_accession,sample_accession,lineage,sequence_type,country,source_group
ERR11420238,ERR11420238,ERS15420059,4,335,South Africa,Other
ERR11437918,ERR11437918,ERS15424282,4,335,South Africa,Other
ERR11807709,ERR11807709,ERS16229037,4,335,South Africa,Other
ERR10880183,ERR10880183,ERS14631655,4,335,South Africa,Other
ERR10880311,ERR10880311,ERS14631781,4,335,South Africa,Other
ERR10109274,ERR10109274,ERS12792507,4,335,South Africa,South African outbreak
ERR12552381,ERR12552381,ERS18038303,4,335,South Africa,Other
ERR12552377,ERR12552377,ERS18038298,4,335,South Africa,Other
ERR11896635,ERR11896635,ERS16295999,4,335,South Africa,Other
ERR9079508,ERR9079508,ERS10862599,4,335,South Africa,Other
ERR9420153,ERR9420153,ERS11375563,4,335,South Africa,Other
ERR10117717,ERR10117717,ERS12849498,4,335,South Africa,Other
ERR6806600,ERR6806600,ERS7645321,4,335,South Africa,Other
ERR7197757,ERR7197757,ERS8210611,4,335,South Africa,Other
ERR6806028,ERR6806028,ERS7644751,4,335,South Africa,Other
ERR9288082,ERR9288082,ERS11025439,4,335,South Africa,Other
ERR11455881,ERR11455881,ERS15530597,4,335,South Africa,Other
ERR6806632,ERR6806632,ERS7645353,4,335,South Africa,Other
ERR4451478,ERR4451478,ERS4937049,4,335,South Africa,Other
ERR12302226,ERR12302226,ERS17016853,4,335,South Africa,Other
ERR12552384,ERR12552384,ERS18038306,4,335,South Africa,Other
ERR12067334,ERR12067334,ERS16390356,4,335,South Africa,Other
ERR10880424,ERR10880424,ERS14631894,4,335,South Africa,Other
ERR10123158,ERR10123158,ERS12853241,4,335,South Africa,Other
ERR10176869,ERR10176869,ERS13445952,4,335,South Africa,Other
ERR10880230,ERR10880230,ERS14631701,4,335,South Africa,Other
ERR11453719,ERR11453719,ERS15482004,4,335,South Africa,Other
ERR10880157,ERR10880157,ERS14631630,4,335,South Africa,Other
ERR11872767,ERR11872767,ERS16284746,4,335,South Africa,Other
ERR6752889,ERR6752889,ERS7770109,4,335,South Africa,Other
ERR9288143,ERR9288143,ERS11025500,4,335,South Africa,Other
ERR5751308,ERR5751308,ERS6282954,4,335,South Africa,Other
ERR4399358,ERR4399358,ERS4873397,4,335,South Africa,Other
ERR4399957,ERR4399957,ERS4873996,4,335,Uganda,Other
ERR4399362,ERR4399362,ERS4873401,4,335,South Africa,Other
SRR13833609,SRR13833609,SRS8357639,4,335,United Kingdom,Other
SRR13719289,SRR13719289,SRS8264772,1,216,Brazil,Other
SRR13719614,SRR13719614,SRS8265095,1,216,Brazil,Other
SRR13313312,SRR13313312,SRS7929273,1,216,Brazil,Other
SRR13313295,SRR13313295,SRS7929255,1,216,Brazil,Other
SRR13719196,SRR13719196,SRS8264689,1,216,Brazil,Other
SRR13277434,SRR13277434,SRS7902285,1,216,Brazil,Other
SRR13277416,SRR13277416,SRS7902267,1,216,Brazil,Other
SRR13277412,SRR13277412,SRS7902263,1,216,Brazil,Other
SRR13311773,SRR13311773,SRS7927857,1,216,Brazil,Other
SRR13313309,SRR13313309,SRS7929272,1,216,Brazil,Other
SRR27481822,SRR27481822,SRS20103709,1,216,Brazil,Other
SRR27481651,SRR27481651,SRS20103539,1,216,Brazil,Other
SRR27481649,SRR27481649,SRS20103537,1,216,Brazil,Other
SRR27481520,SRR27481520,SRS20103408,1,216,Brazil,Other
SRR27481815,SRR27481815,SRS20103703,1,216,Brazil,Other
SRR7130368,SRR7130368,SRS3268540,1,216,Brazil,Other
SRR7130370,SRR7130370,SRS3268551,1,216,Brazil,Other
SRR7130371,SRR7130371,SRS3268550,1,216,Brazil,Other
SRR13312061,SRR13312061,SRS7927934,1,216,Brazil,Other
SRR7130369,SRR7130369,SRS3268548,1,216,Brazil,Other
ERR4400834,ERR4400834,ERS4874873,1,216,Taiwan,Other
ERR4338896,ERR4338896,ERS3475552,1,216,Taiwan,Other
ERR4338560,ERR4338560,ERS3475259,1,216,Taiwan,Other
SRR1106479,SRR1106479,SRS528706,1,216,Taiwan,Other
ERR3581536,ERR3581536,ERS3859332,1,216,Germany,Other
SRR8369293,SRR8369293,SRS4186707,1,216,United Kingdom,Other
SRR7842526,SRR7842526,SRS3786626,1,216,United Kingdom,Other
SRR8297279,SRR8297279,SRS4120730,1,216,United Kingdom,Other
SRR7850690,SRR7850690,SRS3787773,1,216,United Kingdom,Other
SRR7884719,SRR7884719,SRS3807500,1,216,United Kingdom,Other
SRR8350305,SRR8350305,SRS4170645,1,216,United Kingdom,Other
SRR15853458,SRR15853458,SRS10124007,1,216,United Kingdom,Other
SRR21224019,SRR21224019,SRS14800828,1,216,United Kingdom,Other
SRR20212638,SRR20212638,SRS13887098,1,216,Russia,Other
SRR8706049,SRR8706049,SRS4470608,1,216,United Kingdom,Other
SRR16227977,SRR16227977,SRS10471325,1,216,United Kingdom,Other
ERR4399344,ERR4399344,ERS4873383,1,216,Netherlands,Other
SRR7841631,SRR7841631,SRS3785776,1,216,United Kingdom,Other
SRR22691594,SRR22691594,SRS16098242,1,216,United Kingdom,Other
SRR16301618,SRR16301618,SRS10536204,1,216,United Kingdom,Other
ERR10109287,ERR10109287,ERS12792520,1,216,South Africa,Other
ERR9680890,ERR9680890,ERS11915228,1,216,South Africa,Other
SRR14921286,SRR14921286,SRS9280452,3,216,United Kingdom,Other
SRR28295566,SRR28295566,SRS20726766,3,216,United Kingdom,Other
ERR4145363,ERR4145363,ERS4396976,3,216,Nigeria,Other
ERR4145392,ERR4145392,ERS4397008,3,216,Nigeria,Other
ERR4145410,ERR4145410,ERS4397023,3,216,Nigeria,Other
ERR4145345,ERR4145345,ERS4396958,3,216,Nigeria,Other
SRR8325561,SRR8325561,SRS4149673,3,216,United Kingdom,Other
SRR8293522,SRR8293522,SRS4117556,3,216,United Kingdom,Other
ERR4145388,ERR4145388,ERS4397004,3,216,Nigeria,Other
ERR4145353,ERR4145353,ERS4396966,3,216,Nigeria,Other
SRR10326268,SRR10326268,SRS5556410,3,216,United Kingdom,Other
SRR9627787,SRR9627787,SRS5049327,3,216,United Kingdom,Other
SRR27762886,SRR27762886,SRS20282324,3,216,United States,Other
SRR10992537,SRR10992537,SRS6083279,3,216,United Kingdom,Other
SRR1646109,SRR1646109,SRS740757,3,216,United Kingdom,Other
SRR7427053,SRR7427053,SRS3460827,3,216,United Kingdom,Other
SRR8503644,SRR8503644,SRS4305031,3,216,United Kingdom,Other
SRR7457932,SRR7457932,SRS3490531,3,5028,United Kingdom,Other
SRR2917137,SRR2917137,SRS1163111,2,216,United States,Other
SRR2917139,SRR2917139,SRS1163371,2,216,United States,Other
SRR3137069,SRR3137069,SRS1271326,2,216,United States,Other
SRR6107195,SRR6107195,SRS2546827,2,216,United States,Other
SRR2917138,SRR2917138,SRS1163368,2,216,United States,Other
SRR2917136,SRR2917136,SRS1163110,2,216,United States,Other
SRR5084265,SRR5084265,SRS1841914,2,216,United States,Other
SRR5121494,SRR5121494,SRS1871658,2,216,United States,Other
SRR3001933,SRR3001933,SRS1207317,2,216,United States,Other
SRR5121497,SRR5121497,SRS1871661,2,216,United States,Other
SRR2917140,SRR2917140,SRS1163372,2,216,United States,Other
ERR10368770,ERR10368770,ERS13570760,2,216,Portugal,Other
ERR160996,ERR160996,ERS106247,2,216,Other,Other
SRR5056398,SRR5056398,SRS1819954,2,216,Other,Other
ERR3635287,ERR3635287,ERS3943502,2,216,Other,Other
SRR22175068,SRR22175068,SRS15655135,2,216,Mexico,Other
SRR21787058,SRR21787058,SRS15307356,2,216,Mexico,Other
SRR21787324,SRR21787324,SRS15307594,2,216,Mexico,Other
SRR26858817,SRR26858817,SRS19562298,2,216,United States,Other
SRR27185117,SRR27185117,SRS19839564,2,216,United States,Other
SRR21535455,SRR21535455,SRS15086134,2,216,Mexico,Other
SRR21535466,SRR21535466,SRS15086139,2,216,Mexico,Other
SRR26050334,SRR26050334,SRS18873009,2,216,United States,Other
SRR5379276,SRR5379276,SRS2073636,2,216,United States,Other
SRR6457657,SRR6457657,SRS2822385,2,216,United States,Other
SRR14360286,SRR14360286,SRS8802471,2,216,United States,Other
SRR8137438,SRR8137438,SRS3998326,2,216,United Kingdom,Other
ERR3635266,ERR3635266,ERS3943481,2,216,Other,Other
SRR1973602,SRR1973602,SRS909371,2,216,Colombia,Other
SRR3002514,SRR3002514,SRS1207369,2,216,United States,Other
SRR7467291,SRR7467291,SRS3498154,2,216,United States,Other
ERR4400884,ERR4400884,ERS4874923,2,216,South Africa,Other
ERR4399363,ERR4399363,ERS4873402,2,216,South Africa,Other
ERR4401298,ERR4401298,ERS4875337,2,216,South Africa,Other
ERR4400265,ERR4400265,ERS4874304,2,216,South Africa,Other
ERR4401598,ERR4401598,ERS4875637,2,216,South Africa,Other
ERR4401297,ERR4401297,ERS4875336,2,216,South Africa,Other
ERR4401299,ERR4401299,ERS4875338,2,216,South Africa,Other
ERR6806710,ERR6806710,ERS7645431,2,216,South Africa,Other
SRR952929,SRR952929,SRS470636,2,216,United States,Other
SRR7292863,SRR7292863,SRS3406279,2,216,United Kingdom,Other
SRR1966891,SRR1966891,SRS903511,2,216,United Kingdom,Other
SRR1967735,SRR1967735,SRS904472,2,216,United Kingdom,Other
