isolate_id,sequence_type,country,source,year,lineage,amr_count,run_accession,plot_label,original_tree_tip
ERR12321284,335,South Africa,,2023,4,9,ERR12321284,ERR12321284,ERR12321284
ERR9966388,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9966388,ERR9966388,ERR9966388
ERR12495485,335,South Africa,,2023,4,10,ERR12495485,ERR12495485,ERR12495485
ERR12312692,335,South Africa,,2023,4,10,ERR12312692,ERR12312692,ERR12312692
ERR12312689,335,South Africa,,2023,4,10,ERR12312689,ERR12312689,ERR12312689
ERR12312688,335,South Africa,,2023,4,10,ERR12312688,ERR12312688,ERR12312688
ERR11201827,335,South Africa,,2022,4,10,ERR11201827,ERR11201827,ERR11201827
ERR10088101,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10088101,ERR10088101,ERR10088101
ERR10880181,335,South Africa,,2022,4,10,ERR10880181,ERR10880181,ERR10880181
ERR9820422,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9820422,ERR9820422,ERR9820422
ERR9785510,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9785510,ERR9785510,ERR9785510
ERR11807704,335,South Africa,,2023,4,9,ERR11807704,ERR11807704,ERR11807704
ERR10109276,335,South Africa,Eastern Cape Outbreak,2022,4,9,ERR10109276,ERR10109276,ERR10109276
ERR9966389,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9966389,ERR9966389,ERR9966389
ERR9785509,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9785509,ERR9785509,ERR9785509
ERR10087012,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10087012,ERR10087012,ERR10087012
ERR10460483,335,South Africa,Eastern Cape Outbreak,2022,4,8,ERR10460483,ERR10460483,ERR10460483
ERR9785511,335,South Africa,Eastern Cape Outbreak,2022,4,8,ERR9785511,ERR9785511,ERR9785511
ERR9079768,335,South Africa,,2021,4,9,ERR9079768,ERR9079768,ERR9079768
ERR9822149,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9822149,ERR9822149,ERR9822149
ERR9822145,335,South Africa,Eastern Cape Outbreak,2022,4,9,ERR9822145,ERR9822145,ERR9822145
ERR9822146,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9822146,ERR9822146,ERR9822146
ERR10176872,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10176872,ERR10176872,ERR10176872
ERR10460765,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10460765,ERR10460765,ERR10460765
ERR10109275,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10109275,ERR10109275,ERR10109275
ERR9966390,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9966390,ERR9966390,ERR9966390
ERR10123168,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10123168,ERR10123168,ERR10123168
ERR10123167,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10123167,ERR10123167,ERR10123167
ERR9966387,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9966387,ERR9966387,ERR9966387
ERR10949310,335,South Africa,,2022,4,10,ERR10949310,ERR10949310,ERR10949310
ERR10460875,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10460875,ERR10460875,ERR10460875
ERR10109255,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10109255,ERR10109255,ERR10109255
ERR9822151,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9822151,ERR9822151,ERR9822151
ERR10088102,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10088102,ERR10088102,ERR10088102
ERR10088104,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10088104,ERR10088104,ERR10088104
ERR10026000,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10026000,ERR10026000,ERR10026000
ERR9822144,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9822144,ERR9822144,ERR9822144
ERR11896635,335,South Africa,,2023,4,10,ERR11896635,ERR11896635,ERR11896635
ERR12552381,335,South Africa,,2023,4,10,ERR12552381,ERR12552381,ERR12552381
ERR12552377,335,South Africa,,2023,4,10,ERR12552377,ERR12552377,ERR12552377
ERR9079508,335,South Africa,,2021,4,10,ERR9079508,ERR9079508,ERR9079508
ERR7197757,335,South Africa,,2020,4,9,ERR7197757,ERR7197757,ERR7197757
ERR6806028,335,South Africa,,2020,4,9,ERR6806028,ERR6806028,ERR6806028
ERR11455881,335,South Africa,,2023,4,9,ERR11455881,ERR11455881,ERR11455881
ERR4451478,335,South Africa,,2020,4,9,ERR4451478,ERR4451478,ERR4451478
ERR10880424,335,South Africa,,2022,4,9,ERR10880424,ERR10880424,ERR10880424
ERR12067334,335,South Africa,,2022,4,9,ERR12067334,ERR12067334,ERR12067334
ERR12302226,335,South Africa,,2023,4,9,ERR12302226,ERR12302226,ERR12302226
ERR12552384,335,South Africa,,2023,4,9,ERR12552384,ERR12552384,ERR12552384
ERR10123158,335,South Africa,,2022,4,9,ERR10123158,ERR10123158,ERR10123158
ERR5751308,335,South Africa,,2020,4,8,ERR5751308,ERR5751308,ERR5751308
ERR4399358,335,South Africa,,2001,4,9,ERR4399358,ERR4399358,ERR4399358
ERR4399957,335,Uganda,,2001,4,9,ERR4399957,ERR4399957,ERR4399957
ERR4399362,335,South Africa,,2001,4,9,ERR4399362,ERR4399362,ERR4399362
SRR13833609,335,United Kingdom,,2021,4,,SRR13833609,SRR13833609,SRR13833609
SRR1966891,216,United Kingdom,,2014,2,,SRR1966891,SRR1966891,SRR1966891
SRR1967735,216,United Kingdom,,2014,2,,SRR1967735,SRR1967735,SRR1967735
SRR7292863,216,United Kingdom,,2017,2,,SRR7292863,SRR7292863,SRR7292863
ERR3635266,216,,,2002,2,,ERR3635266,ERR3635266,ERR3635266
SRR1973602,216,Colombia,,2007,2,,SRR1973602,SRR1973602,SRR1973602
SRR8137438,216,United Kingdom,,2018,2,1,SRR8137438,SRR8137438,SRR8137438
SRR14360286,216,United States,,2021,2,1,SRR14360286,SRR14360286,SRR14360286
SRR6457657,216,United States,,,2,1,SRR6457657,SRR6457657,SRR6457657
SRR5379276,216,United States,,,2,1,SRR5379276,SRR5379276,SRR5379276
SRR26050334,216,United States,,2023,2,1,SRR26050334,SRR26050334,SRR26050334
SRR21535455,216,Mexico,,2021,2,1,SRR21535455,SRR21535455,SRR21535455
SRR21535466,216,Mexico,,2021,2,1,SRR21535466,SRR21535466,SRR21535466
SRR26858817,216,United States,,2023,2,1,SRR26858817,SRR26858817,SRR26858817
SRR27185117,216,United States,,2023,2,1,SRR27185117,SRR27185117,SRR27185117
SRR21787324,216,Mexico,,2021,2,1,SRR21787324,SRR21787324,SRR21787324
SRR22175068,216,Mexico,,2021,2,1,SRR22175068,SRR22175068,SRR22175068
SRR21787058,216,Mexico,,2021,2,1,SRR21787058,SRR21787058,SRR21787058
ERR3635287,216,,,2007,2,1,ERR3635287,ERR3635287,ERR3635287
ERR10368770,216,Portugal,,2015,2,5,ERR10368770,ERR10368770,ERR10368770
SRR2917140,216,United States,,2015,2,5,SRR2917140,SRR2917140,SRR2917140
SRR3001933,216,United States,,2015,2,5,SRR3001933,SRR3001933,SRR3001933
SRR5121497,216,United States,,2015,2,5,SRR5121497,SRR5121497,SRR5121497
SRR5084265,216,United States,,2016,2,4,SRR5084265,SRR5084265,SRR5084265
SRR5121494,216,United States,,2016,2,5,SRR5121494,SRR5121494,SRR5121494
SRR2917138,216,United States,,2015,2,6,SRR2917138,SRR2917138,SRR2917138
SRR3137069,216,United States,,2015,2,6,SRR3137069,SRR3137069,SRR3137069
SRR2917137,216,United States,,2015,2,6,SRR2917137,SRR2917137,SRR2917137
SRR2917139,216,United States,,2015,2,6,SRR2917139,SRR2917139,SRR2917139
SRR6107195,216,United States,,,2,6,SRR6107195,SRR6107195,SRR6107195
SRR2917136,216,United States,,2015,2,5,SRR2917136,SRR2917136,SRR2917136
ERR160996,216,,,,2,2,ERR160996,ERR160996,ERR160996
SRR5056398,216,,,,2,1,SRR5056398,SRR5056398,SRR5056398
SRR3002514,216,United States,,2008,2,,SRR3002514,SRR3002514,SRR3002514
SRR7467291,216,United States,,,2,1,SRR7467291,SRR7467291,SRR7467291
SRR952929,216,United States,,2000,2,,SRR952929,SRR952929,SRR952929
ERR4400265,216,South Africa,,2001,2,9,ERR4400265,ERR4400265,ERR4400265
ERR4401298,216,South Africa,,2001,2,9,ERR4401298,ERR4401298,ERR4401298
ERR4400884,216,South Africa,,2001,2,9,ERR4400884,ERR4400884,ERR4400884
ERR4399363,216,South Africa,,2001,2,9,ERR4399363,ERR4399363,ERR4399363
ERR4401598,216,South Africa,,2001,2,9,ERR4401598,ERR4401598,ERR4401598
ERR4401297,216,South Africa,,2001,2,9,ERR4401297,ERR4401297,ERR4401297
ERR4401299,216,South Africa,,2001,2,9,ERR4401299,ERR4401299,ERR4401299
ERR6806710,216,South Africa,,2020,2,,ERR6806710,ERR6806710,ERR6806710
SRR8503644,216,United Kingdom,,2018,3,1,SRR8503644,SRR8503644,SRR8503644
SRR10992537,216,United Kingdom,,2020,3,1,SRR10992537,SRR10992537,SRR10992537
SRR1646109,216,United Kingdom,,2012,3,1,SRR1646109,SRR1646109,SRR1646109
SRR7427053,216,United Kingdom,,2015,3,8,SRR7427053,SRR7427053,SRR7427053
SRR7457932,5028,United Kingdom,,2015,3,1,SRR7457932,SRR7457932,SRR7457932
SRR8325561,216,United Kingdom,,2018,3,1,SRR8325561,SRR8325561,SRR8325561
SRR8293522,216,United Kingdom,,2018,3,1,SRR8293522,SRR8293522,SRR8293522
ERR4145345,216,Nigeria,,2018,3,7,ERR4145345,ERR4145345,ERR4145345
ERR4145363,216,Nigeria,,2018,3,7,ERR4145363,ERR4145363,ERR4145363
SRR14921286,216,United Kingdom,,2021,3,7,SRR14921286,SRR14921286,SRR14921286
SRR28295566,216,United Kingdom,,2021,3,1,SRR28295566,SRR28295566,SRR28295566
ERR4145392,216,Nigeria,,2018,3,7,ERR4145392,ERR4145392,ERR4145392
ERR4145410,216,Nigeria,,2018,3,7,ERR4145410,ERR4145410,ERR4145410
ERR4145388,216,Nigeria,,2018,3,1,ERR4145388,ERR4145388,ERR4145388
ERR4145353,216,Nigeria,,2018,3,1,ERR4145353,ERR4145353,ERR4145353
SRR10326268,216,United Kingdom,,2019,3,1,SRR10326268,SRR10326268,SRR10326268
SRR9627787,216,United Kingdom,,2019,3,1,SRR9627787,SRR9627787,SRR9627787
SRR27762886,216,United States,,2024,3,1,SRR27762886,SRR27762886,SRR27762886
ERR10109287,216,South Africa,,2022,1,,ERR10109287,ERR10109287,ERR10109287
ERR9680890,216,South Africa,,2020,1,,ERR9680890,ERR9680890,ERR9680890
SRR16301618,216,United Kingdom,,2021,1,,SRR16301618,SRR16301618,SRR16301618
ERR3581536,216,Germany,,2019,1,,ERR3581536,ERR3581536,ERR3581536
SRR8369293,216,United Kingdom,,2018,1,,SRR8369293,SRR8369293,SRR8369293
SRR13313309,216,Brazil,,2018,1,,SRR13313309,SRR13313309,SRR13313309
SRR13311773,216,Brazil,,2016,1,1,SRR13311773,SRR13311773,SRR13311773
SRR13277412,216,Brazil,,2017,1,1,SRR13277412,SRR13277412,SRR13277412
SRR13277434,216,Brazil,,2017,1,1,SRR13277434,SRR13277434,SRR13277434
SRR13277416,216,Brazil,,2017,1,1,SRR13277416,SRR13277416,SRR13277416
SRR13719196,216,Brazil,,2017,1,1,SRR13719196,SRR13719196,SRR13719196
SRR13719289,216,Brazil,,2018,1,3,SRR13719289,SRR13719289,SRR13719289
SRR13719614,216,Brazil,,2018,1,1,SRR13719614,SRR13719614,SRR13719614
SRR13313312,216,Brazil,,2018,1,1,SRR13313312,SRR13313312,SRR13313312
SRR13313295,216,Brazil,,2018,1,1,SRR13313295,SRR13313295,SRR13313295
SRR27481520,216,Brazil,,2022,1,1,SRR27481520,SRR27481520,SRR27481520
SRR27481822,216,Brazil,,2022,1,1,SRR27481822,SRR27481822,SRR27481822
SRR27481651,216,Brazil,,2022,1,1,SRR27481651,SRR27481651,SRR27481651
SRR27481649,216,Brazil,,2022,1,1,SRR27481649,SRR27481649,SRR27481649
SRR27481815,216,Brazil,,2022,1,1,SRR27481815,SRR27481815,SRR27481815
SRR13312061,216,Brazil,,2016,1,1,SRR13312061,SRR13312061,SRR13312061
SRR7130369,216,Brazil,,2016,1,1,SRR7130369,SRR7130369,SRR7130369
SRR7130368,216,Brazil,,2016,1,1,SRR7130368,SRR7130368,SRR7130368
SRR7130370,216,Brazil,,2016,1,1,SRR7130370,SRR7130370,SRR7130370
SRR7130371,216,Brazil,,2016,1,1,SRR7130371,SRR7130371,SRR7130371
SRR1106479,216,Taiwan,,2002,1,1,SRR1106479,SRR1106479,SRR1106479
ERR4338560,216,Taiwan,,2005,1,1,ERR4338560,ERR4338560,ERR4338560
ERR4400834,216,Taiwan,,2007,1,1,ERR4400834,ERR4400834,ERR4400834
ERR4338896,216,Taiwan,,2004,1,1,ERR4338896,ERR4338896,ERR4338896
SRR20212638,216,Russia,,,1,,SRR20212638,SRR20212638,SRR20212638
SRR21224019,216,United Kingdom,,2022,1,,SRR21224019,SRR21224019,SRR21224019
SRR15853458,216,United Kingdom,,2021,1,3,SRR15853458,SRR15853458,SRR15853458
SRR7884719,216,United Kingdom,,2018,1,,SRR7884719,SRR7884719,SRR7884719
SRR8350305,216,United Kingdom,,2018,1,,SRR8350305,SRR8350305,SRR8350305
SRR7850690,216,United Kingdom,,2018,1,,SRR7850690,SRR7850690,SRR7850690
SRR7842526,216,United Kingdom,,2018,1,,SRR7842526,SRR7842526,SRR7842526
SRR8297279,216,United Kingdom,,2018,1,,SRR8297279,SRR8297279,SRR8297279
SRR8706049,216,United Kingdom,,2015,1,,SRR8706049,SRR8706049,SRR8706049
SRR16227977,216,United Kingdom,,2021,1,,SRR16227977,SRR16227977,SRR16227977
ERR4399344,216,Netherlands,,2006,1,,ERR4399344,ERR4399344,ERR4399344
SRR7841631,216,United Kingdom,,2018,1,,SRR7841631,SRR7841631,SRR7841631
SRR22691594,216,United Kingdom,,2022,1,,SRR22691594,SRR22691594,SRR22691594
ERR6806726,335,South Africa,,2020,5,7,ERR6806726,ERR6806726,ERR6806726
ERR10460902,335,South Africa,,2022,5,9,ERR10460902,ERR10460902,ERR10460902
ERR10460856,335,South Africa,,2022,5,9,ERR10460856,ERR10460856,ERR10460856
ERR6806075,335,South Africa,,2021,5,6,ERR6806075,ERR6806075,ERR6806075
ERR10176870,335,South Africa,,2022,5,9,ERR10176870,ERR10176870,ERR10176870
ERR12078572,335,South Africa,,,5,11,ERR12078572,ERR12078572,ERR12078572
ERR11747320,335,South Africa,,2023,5,11,ERR11747320,ERR11747320,ERR11747320
ERR12495482,335,South Africa,,2023,5,11,ERR12495482,ERR12495482,ERR12495482
ERR9924209,335,South Africa,,2021,5,11,ERR9924209,ERR9924209,ERR9924209
ERR5751726,335,South Africa,,2020,5,7,ERR5751726,ERR5751726,ERR5751726
ERR6806512,335,South Africa,,2021,5,10,ERR6806512,ERR6806512,ERR6806512
ERR6806317,335,South Africa,,2020,5,7,ERR6806317,ERR6806317,ERR6806317
ERR12067371,335,South Africa,,2023,5,11,ERR12067371,ERR12067371,ERR12067371
ERR6806125,335,South Africa,,2020,5,11,ERR6806125,ERR6806125,ERR6806125
ERR5751296,335,South Africa,,2020,5,11,ERR5751296,ERR5751296,ERR5751296
ERR4451427,335,South Africa,,2020,5,11,ERR4451427,ERR4451427,ERR4451427
SRR9273829,335,United Kingdom,,2019,5,7,SRR9273829,SRR9273829,SRR9273829
ERR6752863,335,South Africa,,2020,5,9,ERR6752863,ERR6752863,ERR6752863
ERR12321280,335,South Africa,,2023,5,11,ERR12321280,ERR12321280,ERR12321280
