isolate_id,source_isolate_id,run_accession,sample_accession,country,source_type,source_detail,invasive,year,lineage,sequence_type,clonal_complex,source_group,in_CC25_tree,in_ST335_tree,CC25_order,ST335_order,experiment_accession,accession_basis,XDR_genomic_profile,MDR_genomic_profile,CARB_R_genomic_marker,MAC_R_genomic_marker,genomic_determinants,AMRFinder_class_count,filtered_determinant_count,phenotyped_Kenneth,XDR_phenotype,CC25_panel,ST335_panel,plot_label,matrix_position
CIS153C1,CIS153C1_S4_L001,ERR16714684,ERS29128489,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,11,11,ERX16105649,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIS153C1 | ERR16714684,11
CIV147E3,CIV147E3_S35_L001,ERR16714720,ERS29128525,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,12,12,ERX16105685,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIV147E3 | ERR16714720,12
CIT15FH1,CIT15FH1_S5_L001,ERR16714690,ERS29128495,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,13,13,ERX16105655,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-01,ST335-01,CIT15FH1 | ERR16714690,13
CIV143E2,CIV143E2_S28_L001,ERR16714713,ERS29128518,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,14,14,ERX16105678,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIV143E2 | ERR16714713,14
CIU145B1,CIU145B1_S13_L001,ERR16714694,ERS29128499,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,15,15,ERX16105659,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIU145B1 | ERR16714694,15
44341_3_310,44341_3#310,ERR16714665,ERS29128470,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,16,16,ERX16105630,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_3_310 | ERR16714665,16
CIV13XE2,CIV13XE2_S6_L001,ERR16714700,ERS29128505,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,17,17,ERX16105665,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-01,ST335-01,CIV13XE2 | ERR16714700,17
44341_4_275,44341_4#275,ERR16714667,ERS29128472,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,18,18,ERX16105632,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_4_275 | ERR16714667,18
CIT15FB1,CIT15FB1_S1_L001,ERR16714689,ERS29128494,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,19,19,ERX16105654,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-01,ST335-01,CIT15FB1 | ERR16714689,19
CIV13XU1,CIV13XU1_S18_L001,ERR16714703,ERS29128508,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,20,20,ERX16105668,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIV13XU1 | ERR16714703,20
CIV142E6,CIV142E6_S29_L001,ERR16714712,ERS29128517,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,21,21,ERX16105677,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,16,1,1,CC25-01,ST335-01,CIV142E6 | ERR16714712,21
CIV143U1,CIV143U1_S32_L001,ERR16714716,ERS29128521,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,22,22,ERX16105681,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIV143U1 | ERR16714716,22
CIV143E9,CIV143E9_S8_L001,ERR16714715,ERS29128520,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,23,23,ERX16105680,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIV143E9 | ERR16714715,23
CNS1F3,CNS1F3_S9_L001,ERR16714723,ERS29128528,Malawi,Human,Blood culture,Yes,2020,5,335,25,QECH clinical,1,1,24,24,ERX16105688,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CNS1F3 | ERR16714723,24
CAAYSI,CAAYSI_S8_L001,ERR16714683,ERS29128488,Malawi,Human,Blood culture,Yes,2020,5,335,25,QECH clinical,1,1,25,25,ERX16105648,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CAAYSI | ERR16714683,25
CIT15GS1,CIT15GS1_S23_L001,ERR16714692,ERS29128497,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,26,26,ERX16105657,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIT15GS1 | ERR16714692,26
CIV13RE2,CIV13RE2_S11_L001,ERR16714697,ERS29128502,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,27,27,ERX16105662,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIV13RE2 | ERR16714697,27
CIV141E6,CIV141E6_S16_L001,ERR16714711,ERS29128516,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,28,28,ERX16105676,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIV141E6 | ERR16714711,28
CIS15HB1,CIS15HB1_S39_L001,ERR16714685,ERS29128490,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,29,29,ERX16105650,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIS15HB1 | ERR16714685,29
CIV140U1,CIV140U1_S14_L001,ERR16714710,ERS29128515,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,30,30,ERX16105675,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIV140U1 | ERR16714710,30
CIV140E4,CIV140E4_S26_L001,ERR16714707,ERS29128512,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,31,31,ERX16105672,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,16,0,Other,CC25-01,ST335-01,CIV140E4 | ERR16714707,31
CIV140E7,CIV140E7_S24_L001,ERR16714709,ERS29128514,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,32,32,ERX16105674,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIV140E7 | ERR16714709,32
CAAXQV,CAAXQV_S11_L001,ERR16714680,ERS29128485,Malawi,Human,Blood culture,Yes,2020,5,335,25,QECH clinical,1,1,33,33,ERX16105645,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CAAXQV | ERR16714680,33
CIV13UE4,CIV13UE4_S38_L001,ERR16714698,ERS29128503,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,34,34,ERX16105663,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIV13UE4 | ERR16714698,34
CIS15MR1,CIS15MR1_S17_L001,ERR16714686,ERS29128491,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,35,35,ERX16105651,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIS15MR1 | ERR16714686,35
CIV13YE6,CIV13YE6_S9_L001,ERR16714704,ERS29128509,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,36,36,ERX16105669,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-02,ST335-02,CIV13YE6 | ERR16714704,36
CIV143E4,CIV143E4_S31_L001,ERR16714714,ERS29128519,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,37,37,ERX16105679,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-02,ST335-02,CIV143E4 | ERR16714714,37
CIV13XE5,CIV13XE5_S19_L001,ERR16714701,ERS29128506,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,38,38,ERX16105666,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIV13XE5 | ERR16714701,38
CIT15GH1,CIT15GH1_S36_L001,ERR16714691,ERS29128496,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,39,39,ERX16105656,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIT15GH1 | ERR16714691,39
CIV140E1,CIV140E1_S30_L001,ERR16714706,ERS29128511,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,40,40,ERX16105671,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIV140E1 | ERR16714706,40
CIV140E6,CIV140E6_S2_L001,ERR16714708,ERS29128513,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,41,41,ERX16105673,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-02,ST335-02,CIV140E6 | ERR16714708,41
CIU13XS1,CIU13XS1_S15_L001,ERR16714693,ERS29128498,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,42,42,ERX16105658,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIU13XS1 | ERR16714693,42
CIV146E8,CIV146E8_S25_L001,ERR16714719,ERS29128524,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,43,43,ERX16105684,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,16,1,1,CC25-02,ST335-02,CIV146E8 | ERR16714719,43
CIU149H1,CIU149H1_S7_L001,ERR16714695,ERS29128500,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,44,44,ERX16105660,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-02,ST335-02,CIU149H1 | ERR16714695,44
CIV144E6,CIV144E6_S33_L001,ERR16714717,ERS29128522,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,45,45,ERX16105682,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-02,ST335-02,CIV144E6 | ERR16714717,45
CIV13VE5,CIV13VE5_S21_L001,ERR16714699,ERS29128504,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,46,46,ERX16105664,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-02,ST335-02,CIV13VE5 | ERR16714699,46
CIV13YE8,CIV13YE8_S22_L001,ERR16714705,ERS29128510,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,47,47,ERX16105670,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,0,CC25-02,ST335-02,CIV13YE8 | ERR16714705,47
CIV144U1,CIV144U1_S34_L001,ERR16714718,ERS29128523,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,48,48,ERX16105683,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-02,ST335-02,CIV144U1 | ERR16714718,48
CNSP0U,CNSP0U_S18_L001,ERR16714732,ERS29128537,Malawi,Human,Blood culture,Yes,2023,5,335,25,QECH clinical,1,1,49,49,ERX16105697,Supplied isolate accession workbook,1,1,0,0,blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,9,15,0,Other,CC25-02,ST335-02,CNSP0U | ERR16714732,49
CNSKFP,CNSKFP_S19_L001,ERR16714729,ERS29128534,Malawi,Human,Blood culture,Yes,2022,5,335,25,QECH clinical,1,1,50,50,ERX16105694,Supplied isolate accession workbook,1,1,0,0,blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; sul1; aac(3)-IIe; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,9,13,0,Other,CC25-02,ST335-02,CNSKFP | ERR16714729,50
