"isolate_id","gene","present"
"ERR12259395","blaLAP-2",0
"ERR12091513","blaLAP-2",0
"ERR10125140","blaLAP-2",0
"ERR10949303","blaLAP-2",0
"ERR11810274","blaLAP-2",0
"ERR9785512","blaLAP-2",0
"ERR10176866","blaLAP-2",0
"ERR10460687","blaLAP-2",0
"ERR12078573","blaLAP-2",0
"ERR12165616","blaLAP-2",0
"ERR10880377","blaLAP-2",0
"ERR10460887","blaLAP-2",0
"ERR10880335","blaLAP-2",0
"ERR10880156","blaLAP-2",0
"ERR10088105","blaLAP-2",0
"ERR12321284","blaLAP-2",0
"ERR9966388","blaLAP-2",0
"ERR12495485","blaLAP-2",0
"ERR12312692","blaLAP-2",0
"ERR12312689","blaLAP-2",0
"ERR12312688","blaLAP-2",0
"ERR11201827","blaLAP-2",0
"ERR10088101","blaLAP-2",0
"ERR10880181","blaLAP-2",0
"ERR9820422","blaLAP-2",0
"ERR9785510","blaLAP-2",0
"ERR11807704","blaLAP-2",0
"ERR10109276","blaLAP-2",0
"ERR9966389","blaLAP-2",0
"ERR9785509","blaLAP-2",0
"ERR10087012","blaLAP-2",0
"ERR10460483","blaLAP-2",0
"ERR9785511","blaLAP-2",0
"ERR9079768","blaLAP-2",0
"ERR9822149","blaLAP-2",0
"ERR9822145","blaLAP-2",0
"ERR9822146","blaLAP-2",0
"ERR10176872","blaLAP-2",0
"ERR10460765","blaLAP-2",0
"ERR10109275","blaLAP-2",0
"ERR9966390","blaLAP-2",0
"ERR10123168","blaLAP-2",0
"ERR10123167","blaLAP-2",0
"ERR9966387","blaLAP-2",0
"ERR10949310","blaLAP-2",0
"ERR10460875","blaLAP-2",0
"ERR10109255","blaLAP-2",0
"ERR9822151","blaLAP-2",0
"ERR10088102","blaLAP-2",0
"ERR10088104","blaLAP-2",0
"ERR10026000","blaLAP-2",0
"ERR9822144","blaLAP-2",0
"ERR11896635","blaLAP-2",0
"ERR12552381","blaLAP-2",0
"ERR12552377","blaLAP-2",0
"ERR9079508","blaLAP-2",0
"ERR7197757","blaLAP-2",0
"ERR6806028","blaLAP-2",0
"ERR11455881","blaLAP-2",0
"ERR4451478","blaLAP-2",0
"ERR10880424","blaLAP-2",0
"ERR12067334","blaLAP-2",0
"ERR12302226","blaLAP-2",0
"ERR12552384","blaLAP-2",0
"ERR10123158","blaLAP-2",0
"ERR5751308","blaLAP-2",0
"ERR4399358","blaLAP-2",0
"ERR4399957","blaLAP-2",0
"ERR4399362","blaLAP-2",0
"SRR13833609","blaLAP-2",0
"ERR6806726","blaLAP-2",0
"ERR10460902","blaLAP-2",0
"ERR10460856","blaLAP-2",0
"ERR6806075","blaLAP-2",0
"ERR10176870","blaLAP-2",0
"ERR12078572","blaLAP-2",0
"ERR11747320","blaLAP-2",0
"ERR12495482","blaLAP-2",0
"ERR9924209","blaLAP-2",0
"ERR5751726","blaLAP-2",0
"ERR6806512","blaLAP-2",0
"ERR6806317","blaLAP-2",0
"ERR12067371","blaLAP-2",0
"ERR6806125","blaLAP-2",0
"ERR5751296","blaLAP-2",0
"ERR4451427","blaLAP-2",0
"SRR9273829","blaLAP-2",0
"ERR6752863","blaLAP-2",0
"ERR12321280","blaLAP-2",0
"ERR9692774","blaLAP-2",0
"ERR6805998","blaLAP-2",0
"ERR6806833","blaLAP-2",0
"ERR6806749","blaLAP-2",0
"ERR6806776","blaLAP-2",0
"ERR5750995","blaLAP-2",0
"ERR6806255","blaLAP-2",0
"ERR6805990","blaLAP-2",0
"ERR11747325","blaLAP-2",0
"ERR11502778","blaLAP-2",0
"ERR7197834","blaLAP-2",0
"ERR9079758","blaLAP-2",0
"ERR12321281","blaLAP-2",0
"ERR12142634","blaLAP-2",0
"ERR12067314","blaLAP-2",0
"ERR12321282","blaLAP-2",0
"ERR12080226","blaLAP-2",0
"ERR12321283","blaLAP-2",0
"ERR6753111","blaLAP-2",0
"ERR6806796","blaLAP-2",0
"ERR6806789","blaLAP-2",0
"ERR9971918","blaLAP-2",0
"ERR7197741","blaLAP-2",0
"ERR5751808","blaLAP-2",0
"ERR10438737","blaLAP-2",0
"CLL6CH","blaLAP-2",0
"CAARE3","blaLAP-2",0
"CAAQXB","blaLAP-2",0
"CAAR9T","blaLAP-2",0
"CAAQUT","blaLAP-2",0
"CNSFP4","blaLAP-2",0
"CNSDXZ","blaLAP-2",0
"CAAP2A","blaLAP-2",0
"44341_3_268","blaLAP-2",0
"44341_3_280","blaLAP-2",0
"44341_3_262","blaLAP-2",0
"44341_3_265","blaLAP-2",0
"44341_4_286","blaLAP-2",0
"CAAYDF","blaLAP-2",0
"CLL3JA","blaLAP-2",0
"ERR9941258","blaLAP-2",0
"CNSLL4","blaLAP-2",0
"CNSKFP","blaLAP-2",0
"CNSP0U","blaSCO-1",0
"ERR9929342","blaSCO-1",0
"ERR9966382","blaSCO-1",0
"CNS6QU","blaSCO-1",0
"CNS7YP","blaSCO-1",0
"BKRRIF","blaSCO-1",0
"44341_3_96","blaSCO-1",0
"44341_3_21","blaSCO-1",0
"CIV13VE5","blaSCO-1",0
"CIU149H1","blaSCO-1",0
"CIV146E8","blaSCO-1",0
"CIU13XS1","blaSCO-1",0
"CIV140E6","blaSCO-1",0
"CIV140E1","blaSCO-1",0
"CIT15GH1","blaSCO-1",0
"CIV13XE5","blaSCO-1",0
"CIV13YE6","blaSCO-1",0
"CIS15MR1","blaSCO-1",0
"CIV13UE4","blaSCO-1",0
"CAAXQV","blaSCO-1",0
"CIV140E7","blaSCO-1",0
"CIS15HB1","blaSCO-1",0
"CIV13RE2","blaSCO-1",0
"CIT15GS1","blaSCO-1",0
"CIV142E6","blaSCO-1",0
"44341_4_275","blaSCO-1",0
"44341_3_310","blaSCO-1",0
"CIU145B1","blaSCO-1",0
"CIV143E2","blaSCO-1",0
"CIT15FH1","blaSCO-1",0
"CIV147E3","blaSCO-1",0
"CIT15EB1","blaSCO-1",0
"CIV13PE7","blaSCO-1",0
"CIV13XE8","blaSCO-1",0
"44341_3_304","blaSCO-1",0
"44341_3_305","blaSCO-1",0
"44341_3_281","blaSCO-1",0
"44341_3_136","blaSCO-1",0
"44341_3_128","blaSCO-1",0
"44341_3_131","blaSCO-1",0
"CIT159B1","blaSCO-1",0
"CIS153C1","blaSCO-1",0
"CIV13XE2","blaSCO-1",0
"CIT15FB1","blaSCO-1",0
"CIV13XU1","blaSCO-1",0
"CIV143U1","blaSCO-1",0
"CIV143E9","blaSCO-1",0
"CNS1F3","blaSCO-1",0
"CAAYSI","blaSCO-1",0
"CIV141E6","blaSCO-1",0
"CIV140U1","blaSCO-1",0
"CIV140E4","blaSCO-1",0
"CIV143E4","blaSCO-1",0
"CIV144E6","blaSCO-1",0
"CIV13YE8","blaSCO-1",0
"CIV144U1","blaSCO-1",0
"BKRMVD","blaSCO-1",0
"CAAXBN","blaSCO-1",0
"44341_3_165","blaSCO-1",0
"ERR10113269","blaSCO-1",0
"ERR6752971","blaSCO-1",0
"ERR5751227","blaSCO-1",0
"ERR12142619","blaSCO-1",0
"ERR9976609","blaSCO-1",0
"ERR11219800","blaSCO-1",0
"ERR9079830","blaSCO-1",0
"ERR10880116","blaSCO-1",0
"ERR5751304","blaSCO-1",0
"ERR6806714","blaSCO-1",0
"ERR11872767","blaSCO-1",1
"ERR10176869","blaSCO-1",1
"ERR10880230","blaSCO-1",1
"ERR11453719","blaSCO-1",1
"ERR10880157","blaSCO-1",1
"ERR6752889","blaSCO-1",1
"ERR9288143","blaSCO-1",1
"ERR6806632","blaSCO-1",0
"ERR9288082","blaSCO-1",1
"ERR6806600","blaSCO-1",1
"ERR9420153","blaSCO-1",1
"ERR10117717","blaSCO-1",1
"ERR10109274","blaSCO-1",1
"ERR10880183","blaSCO-1",1
"ERR10880311","blaSCO-1",1
"ERR11420238","blaSCO-1",1
"ERR11437918","blaSCO-1",1
"ERR11807709","blaSCO-1",1
"ERR12146144","blaSCO-1",1
"ERR10109277","blaSCO-1",1
"ERR10087013","blaSCO-1",1
"ERR11219811","blaSCO-1",1
"ERR9966386","blaSCO-1",1
"ERR12259395","blaSCO-1",1
"ERR12091513","blaSCO-1",1
"ERR10125140","blaSCO-1",1
"ERR10949303","blaSCO-1",1
"ERR11810274","blaSCO-1",1
"ERR9785512","blaSCO-1",1
"ERR10176866","blaSCO-1",1
"ERR10460687","blaSCO-1",1
"ERR12078573","blaSCO-1",1
"ERR12165616","blaSCO-1",1
"ERR10880377","blaSCO-1",1
"ERR10460887","blaSCO-1",1
"ERR10880335","blaSCO-1",1
"ERR10880156","blaSCO-1",1
"ERR10088105","blaSCO-1",1
"ERR12321284","blaSCO-1",1
"ERR9966388","blaSCO-1",1
"ERR12495485","blaSCO-1",1
"ERR12312692","blaSCO-1",1
"ERR12312689","blaSCO-1",1
"ERR12312688","blaSCO-1",1
"ERR11201827","blaSCO-1",1
"ERR10088101","blaSCO-1",1
"ERR10880181","blaSCO-1",1
"ERR9820422","blaSCO-1",1
"ERR9785510","blaSCO-1",1
"ERR11807704","blaSCO-1",1
"ERR10109276","blaSCO-1",1
"ERR9966389","blaSCO-1",1
"ERR9785509","blaSCO-1",1
"ERR10087012","blaSCO-1",1
"ERR10460483","blaSCO-1",1
"ERR9785511","blaSCO-1",1
"ERR9079768","blaSCO-1",1
"ERR9822149","blaSCO-1",1
"ERR9822145","blaSCO-1",1
"ERR9822146","blaSCO-1",1
"ERR10176872","blaSCO-1",1
"ERR10460765","blaSCO-1",1
"ERR10109275","blaSCO-1",1
"ERR9966390","blaSCO-1",1
"ERR10123168","blaSCO-1",1
"ERR10123167","blaSCO-1",1
"ERR9966387","blaSCO-1",1
"ERR10949310","blaSCO-1",1
"ERR10460875","blaSCO-1",1
"ERR10109255","blaSCO-1",1
"ERR9822151","blaSCO-1",1
"ERR10088102","blaSCO-1",1
"ERR10088104","blaSCO-1",1
"ERR10026000","blaSCO-1",1
"ERR9822144","blaSCO-1",1
"ERR11896635","blaSCO-1",1
"ERR12552381","blaSCO-1",1
"ERR12552377","blaSCO-1",1
"ERR9079508","blaSCO-1",1
"ERR7197757","blaSCO-1",1
"ERR6806028","blaSCO-1",1
"ERR11455881","blaSCO-1",1
"ERR4451478","blaSCO-1",1
"ERR10880424","blaSCO-1",1
"ERR12067334","blaSCO-1",1
"ERR12302226","blaSCO-1",1
"ERR12552384","blaSCO-1",1
"ERR10123158","blaSCO-1",1
"ERR5751308","blaSCO-1",1
"ERR4399358","blaSCO-1",1
"ERR4399957","blaSCO-1",1
"ERR4399362","blaSCO-1",1
"SRR13833609","blaSCO-1",0
"ERR6806726","blaSCO-1",0
"ERR10460902","blaSCO-1",0
"ERR10460856","blaSCO-1",0
"ERR6806075","blaSCO-1",0
"ERR10176870","blaSCO-1",0
"ERR12078572","blaSCO-1",0
"ERR11747320","blaSCO-1",0
"ERR12495482","blaSCO-1",0
"ERR9924209","blaSCO-1",0
"ERR5751726","blaSCO-1",0
"ERR6806512","blaSCO-1",0
"ERR6806317","blaSCO-1",0
"ERR12067371","blaSCO-1",0
"ERR6806125","blaSCO-1",0
"ERR5751296","blaSCO-1",0
"ERR4451427","blaSCO-1",0
"SRR9273829","blaSCO-1",0
"ERR6752863","blaSCO-1",0
"ERR12321280","blaSCO-1",0
"ERR9692774","blaSCO-1",0
"ERR6805998","blaSCO-1",0
"ERR6806833","blaSCO-1",0
"ERR6806749","blaSCO-1",0
"ERR6806776","blaSCO-1",0
"ERR5750995","blaSCO-1",0
"ERR6806255","blaSCO-1",0
"ERR6805990","blaSCO-1",0
"ERR11747325","blaSCO-1",0
"ERR11502778","blaSCO-1",0
"ERR7197834","blaSCO-1",0
"ERR9079758","blaSCO-1",0
"ERR12321281","blaSCO-1",0
"ERR12142634","blaSCO-1",0
"ERR12067314","blaSCO-1",0
"ERR12321282","blaSCO-1",0
"ERR12080226","blaSCO-1",0
"ERR12321283","blaSCO-1",0
"ERR6753111","blaSCO-1",0
"ERR6806796","blaSCO-1",0
"ERR6806789","blaSCO-1",0
"ERR9971918","blaSCO-1",0
"ERR7197741","blaSCO-1",0
"ERR5751808","blaSCO-1",0
"ERR10438737","blaSCO-1",0
"CLL6CH","blaSCO-1",0
"CAARE3","blaSCO-1",0
"CAAQXB","blaSCO-1",0
"CAAR9T","blaSCO-1",0
"CAAQUT","blaSCO-1",0
"CNSFP4","blaSCO-1",0
"CNSDXZ","blaSCO-1",0
"CAAP2A","blaSCO-1",0
"44341_3_268","blaSCO-1",0
"44341_3_280","blaSCO-1",0
"44341_3_262","blaSCO-1",0
"44341_3_265","blaSCO-1",0
"44341_4_286","blaSCO-1",0
"CAAYDF","blaSCO-1",0
"CLL3JA","blaSCO-1",0
"ERR9941258","blaSCO-1",0
"CNSLL4","blaSCO-1",0
"CNSKFP","blaSCO-1",0
"CNSP0U","blaTEM-1",0
"ERR9929342","blaTEM-1",0
"ERR9966382","blaTEM-1",0
"CNS6QU","blaTEM-1",0
"CNS7YP","blaTEM-1",0
"BKRRIF","blaTEM-1",0
"44341_3_96","blaTEM-1",0
"44341_3_21","blaTEM-1",0
"CIV13VE5","blaTEM-1",0
"CIU149H1","blaTEM-1",0
"CIV146E8","blaTEM-1",0
"CIU13XS1","blaTEM-1",0
"CIV140E6","blaTEM-1",0
"CIV140E1","blaTEM-1",0
"CIT15GH1","blaTEM-1",0
"CIV13XE5","blaTEM-1",0
"CIV13YE6","blaTEM-1",0
"CIS15MR1","blaTEM-1",0
"CIV13UE4","blaTEM-1",0
"CAAXQV","blaTEM-1",0
"CIV140E7","blaTEM-1",0
"CIS15HB1","blaTEM-1",0
"CIV13RE2","blaTEM-1",0
"CIT15GS1","blaTEM-1",0
"CIV142E6","blaTEM-1",0
"44341_4_275","blaTEM-1",0
"44341_3_310","blaTEM-1",0
"CIU145B1","blaTEM-1",0
"CIV143E2","blaTEM-1",0
"CIT15FH1","blaTEM-1",0
"CIV147E3","blaTEM-1",0
"CIT15EB1","blaTEM-1",0
"CIV13PE7","blaTEM-1",0
"CIV13XE8","blaTEM-1",0
"44341_3_304","blaTEM-1",0
"44341_3_305","blaTEM-1",0
"44341_3_281","blaTEM-1",0
"44341_3_136","blaTEM-1",0
"44341_3_128","blaTEM-1",0
"44341_3_131","blaTEM-1",0
"CIT159B1","blaTEM-1",0
"CIS153C1","blaTEM-1",0
"CIV13XE2","blaTEM-1",0
"CIT15FB1","blaTEM-1",0
"CIV13XU1","blaTEM-1",0
"CIV143U1","blaTEM-1",0
"CIV143E9","blaTEM-1",0
"CNS1F3","blaTEM-1",0
"CAAYSI","blaTEM-1",0
"CIV141E6","blaTEM-1",0
"CIV140U1","blaTEM-1",0
"CIV140E4","blaTEM-1",0
"CIV143E4","blaTEM-1",0
"CIV144E6","blaTEM-1",0
"CIV13YE8","blaTEM-1",0
"CIV144U1","blaTEM-1",0
"BKRMVD","blaTEM-1",0
"CAAXBN","blaTEM-1",0
"44341_3_165","blaTEM-1",0
"ERR10113269","blaTEM-1",0
"ERR6752971","blaTEM-1",1
"ERR5751227","blaTEM-1",1
"ERR12142619","blaTEM-1",0
"ERR9976609","blaTEM-1",0
"ERR11219800","blaTEM-1",0
"ERR9079830","blaTEM-1",0
"ERR10880116","blaTEM-1",0
"ERR5751304","blaTEM-1",0
"ERR6806714","blaTEM-1",1
"ERR11872767","blaTEM-1",0
"ERR10176869","blaTEM-1",0
"ERR10880230","blaTEM-1",0
"ERR11453719","blaTEM-1",0
"ERR10880157","blaTEM-1",0
"ERR6752889","blaTEM-1",0
"ERR9288143","blaTEM-1",0
"ERR6806632","blaTEM-1",1
"ERR9288082","blaTEM-1",1
"ERR6806600","blaTEM-1",1
"ERR9420153","blaTEM-1",1
"ERR10117717","blaTEM-1",1
"ERR10109274","blaTEM-1",1
"ERR10880183","blaTEM-1",1
"ERR10880311","blaTEM-1",1
"ERR11420238","blaTEM-1",1
"ERR11437918","blaTEM-1",1
"ERR11807709","blaTEM-1",1
"ERR12146144","blaTEM-1",1
"ERR10109277","blaTEM-1",1
"ERR10087013","blaTEM-1",1
"ERR11219811","blaTEM-1",1
"ERR9966386","blaTEM-1",1
"ERR12259395","blaTEM-1",1
"ERR12091513","blaTEM-1",1
"ERR10125140","blaTEM-1",1
"ERR10949303","blaTEM-1",1
"ERR11810274","blaTEM-1",1
"ERR9785512","blaTEM-1",1
"ERR10176866","blaTEM-1",1
"ERR10460687","blaTEM-1",1
"ERR12078573","blaTEM-1",1
"ERR12165616","blaTEM-1",1
"ERR10880377","blaTEM-1",1
"ERR10460887","blaTEM-1",1
"ERR10880335","blaTEM-1",1
"ERR10880156","blaTEM-1",1
"ERR10088105","blaTEM-1",1
"ERR12321284","blaTEM-1",1
"ERR9966388","blaTEM-1",1
"ERR12495485","blaTEM-1",1
"ERR12312692","blaTEM-1",1
"ERR12312689","blaTEM-1",1
"ERR12312688","blaTEM-1",1
"ERR11201827","blaTEM-1",1
"ERR10088101","blaTEM-1",1
"ERR10880181","blaTEM-1",1
"ERR9820422","blaTEM-1",1
"ERR9785510","blaTEM-1",1
"ERR11807704","blaTEM-1",1
"ERR10109276","blaTEM-1",1
"ERR9966389","blaTEM-1",1
"ERR9785509","blaTEM-1",1
"ERR10087012","blaTEM-1",1
"ERR10460483","blaTEM-1",1
"ERR9785511","blaTEM-1",1
"ERR9079768","blaTEM-1",1
"ERR9822149","blaTEM-1",1
"ERR9822145","blaTEM-1",1
"ERR9822146","blaTEM-1",1
"ERR10176872","blaTEM-1",1
"ERR10460765","blaTEM-1",1
"ERR10109275","blaTEM-1",1
"ERR9966390","blaTEM-1",1
"ERR10123168","blaTEM-1",1
"ERR10123167","blaTEM-1",1
"ERR9966387","blaTEM-1",1
"ERR10949310","blaTEM-1",1
"ERR10460875","blaTEM-1",1
"ERR10109255","blaTEM-1",0
"ERR9822151","blaTEM-1",1
"ERR10088102","blaTEM-1",1
"ERR10088104","blaTEM-1",1
"ERR10026000","blaTEM-1",1
"ERR9822144","blaTEM-1",1
"ERR11896635","blaTEM-1",1
"ERR12552381","blaTEM-1",1
"ERR12552377","blaTEM-1",1
"ERR9079508","blaTEM-1",1
"ERR7197757","blaTEM-1",1
"ERR6806028","blaTEM-1",1
"ERR11455881","blaTEM-1",1
"ERR4451478","blaTEM-1",1
"ERR10880424","blaTEM-1",1
"ERR12067334","blaTEM-1",1
"ERR12302226","blaTEM-1",1
"ERR12552384","blaTEM-1",1
"ERR10123158","blaTEM-1",1
"ERR5751308","blaTEM-1",0
"ERR4399358","blaTEM-1",0
"ERR4399957","blaTEM-1",0
"ERR4399362","blaTEM-1",0
"SRR13833609","blaTEM-1",0
"ERR6806726","blaTEM-1",1
"ERR10460902","blaTEM-1",1
"ERR10460856","blaTEM-1",1
"ERR6806075","blaTEM-1",1
"ERR10176870","blaTEM-1",1
"ERR12078572","blaTEM-1",0
"ERR11747320","blaTEM-1",1
"ERR12495482","blaTEM-1",1
"ERR9924209","blaTEM-1",1
"ERR5751726","blaTEM-1",1
"ERR6806512","blaTEM-1",1
"ERR6806317","blaTEM-1",1
"ERR12067371","blaTEM-1",1
"ERR6806125","blaTEM-1",0
"ERR5751296","blaTEM-1",0
"ERR4451427","blaTEM-1",0
"SRR9273829","blaTEM-1",0
"ERR6752863","blaTEM-1",0
"ERR12321280","blaTEM-1",0
"ERR9692774","blaTEM-1",0
"ERR6805998","blaTEM-1",0
"ERR6806833","blaTEM-1",0
"ERR6806749","blaTEM-1",0
"ERR6806776","blaTEM-1",0
"ERR5750995","blaTEM-1",0
"ERR6806255","blaTEM-1",0
"ERR6805990","blaTEM-1",0
"ERR11747325","blaTEM-1",1
"ERR11502778","blaTEM-1",1
"ERR7197834","blaTEM-1",0
"ERR9079758","blaTEM-1",1
"ERR12321281","blaTEM-1",1
"ERR12142634","blaTEM-1",1
"ERR12067314","blaTEM-1",0
"ERR12321282","blaTEM-1",0
"ERR12080226","blaTEM-1",0
"ERR12321283","blaTEM-1",0
"ERR6753111","blaTEM-1",0
"ERR6806796","blaTEM-1",0
"ERR6806789","blaTEM-1",0
"ERR9971918","blaTEM-1",0
"ERR7197741","blaTEM-1",0
"ERR5751808","blaTEM-1",0
"ERR10438737","blaTEM-1",0
"CLL6CH","blaTEM-1",0
"CAARE3","blaTEM-1",0
"CAAQXB","blaTEM-1",0
"CAAR9T","blaTEM-1",0
"CAAQUT","blaTEM-1",0
"CNSFP4","blaTEM-1",0
"CNSDXZ","blaTEM-1",0
"CAAP2A","blaTEM-1",0
"44341_3_268","blaTEM-1",0
"44341_3_280","blaTEM-1",0
"44341_3_262","blaTEM-1",0
"44341_3_265","blaTEM-1",0
"44341_4_286","blaTEM-1",0
"CAAYDF","blaTEM-1",0
"CLL3JA","blaTEM-1",0
"ERR9941258","blaTEM-1",0
"CNSLL4","blaTEM-1",0
"CNSKFP","blaTEM-1",0
"CNSP0U","blaOXA-1",0
"ERR9929342","blaOXA-1",1
"ERR9966382","blaOXA-1",1
"CNS6QU","blaOXA-1",1
"CNS7YP","blaOXA-1",1
"BKRRIF","blaOXA-1",1
"44341_3_96","blaOXA-1",1
"44341_3_21","blaOXA-1",1
"CIV13VE5","blaOXA-1",1
"CIU149H1","blaOXA-1",1
"CIV146E8","blaOXA-1",1
"CIU13XS1","blaOXA-1",1
"CIV140E6","blaOXA-1",1
"CIV140E1","blaOXA-1",1
"CIT15GH1","blaOXA-1",1
"CIV13XE5","blaOXA-1",1
"CIV13YE6","blaOXA-1",1
"CIS15MR1","blaOXA-1",1
"CIV13UE4","blaOXA-1",1
"CAAXQV","blaOXA-1",1
"CIV140E7","blaOXA-1",1
"CIS15HB1","blaOXA-1",1
"CIV13RE2","blaOXA-1",1
"CIT15GS1","blaOXA-1",1
"CIV142E6","blaOXA-1",1
"44341_4_275","blaOXA-1",1
"44341_3_310","blaOXA-1",1
"CIU145B1","blaOXA-1",1
"CIV143E2","blaOXA-1",1
"CIT15FH1","blaOXA-1",1
"CIV147E3","blaOXA-1",1
"CIT15EB1","blaOXA-1",1
"CIV13PE7","blaOXA-1",1
"CIV13XE8","blaOXA-1",1
"44341_3_304","blaOXA-1",1
"44341_3_305","blaOXA-1",1
"44341_3_281","blaOXA-1",1
"44341_3_136","blaOXA-1",1
"44341_3_128","blaOXA-1",1
"44341_3_131","blaOXA-1",1
"CIT159B1","blaOXA-1",1
"CIS153C1","blaOXA-1",1
"CIV13XE2","blaOXA-1",1
"CIT15FB1","blaOXA-1",1
"CIV13XU1","blaOXA-1",1
"CIV143U1","blaOXA-1",1
"CIV143E9","blaOXA-1",1
"CNS1F3","blaOXA-1",1
"CAAYSI","blaOXA-1",1
"CIV141E6","blaOXA-1",1
"CIV140U1","blaOXA-1",1
"CIV140E4","blaOXA-1",1
"CIV143E4","blaOXA-1",1
"CIV144E6","blaOXA-1",1
"CIV13YE8","blaOXA-1",1
"CIV144U1","blaOXA-1",1
"BKRMVD","blaOXA-1",1
"CAAXBN","blaOXA-1",1
"44341_3_165","blaOXA-1",1
"ERR10113269","blaOXA-1",1
"ERR6752971","blaOXA-1",1
"ERR5751227","blaOXA-1",1
"ERR12142619","blaOXA-1",1
"ERR9976609","blaOXA-1",1
"ERR11219800","blaOXA-1",1
"ERR9079830","blaOXA-1",1
"ERR10880116","blaOXA-1",1
"ERR5751304","blaOXA-1",1
"ERR6806714","blaOXA-1",0
"ERR11872767","blaOXA-1",1
"ERR10176869","blaOXA-1",1
"ERR10880230","blaOXA-1",1
"ERR11453719","blaOXA-1",1
"ERR10880157","blaOXA-1",1
"ERR6752889","blaOXA-1",1
"ERR9288143","blaOXA-1",1
"ERR6806632","blaOXA-1",0
"ERR9288082","blaOXA-1",1
"ERR6806600","blaOXA-1",1
"ERR9420153","blaOXA-1",1
"ERR10117717","blaOXA-1",1
"ERR10109274","blaOXA-1",1
"ERR10880183","blaOXA-1",1
"ERR10880311","blaOXA-1",1
"ERR11420238","blaOXA-1",1
"ERR11437918","blaOXA-1",1
"ERR11807709","blaOXA-1",1
"ERR12146144","blaOXA-1",1
"ERR10109277","blaOXA-1",1
"ERR10087013","blaOXA-1",1
"ERR11219811","blaOXA-1",1
"ERR9966386","blaOXA-1",1
"ERR12259395","blaOXA-1",1
"ERR12091513","blaOXA-1",1
"ERR10125140","blaOXA-1",0
"ERR10949303","blaOXA-1",1
"ERR11810274","blaOXA-1",1
"ERR9785512","blaOXA-1",1
"ERR10176866","blaOXA-1",1
"ERR10460687","blaOXA-1",1
