isolate_id,run_accession,ST
ERR12259395,ERR12259395,335
ERR12302226,ERR12302226,335
ERR12312688,ERR12312688,335
ERR12312689,ERR12312689,335
ERR12312692,ERR12312692,335
ERR12321280,ERR12321280,335
ERR12321281,ERR12321281,335
ERR12321282,ERR12321282,335
ERR12321283,ERR12321283,335
ERR12321284,ERR12321284,335
ERR12495482,ERR12495482,335
ERR12495485,ERR12495485,335
ERR12552377,ERR12552377,335
ERR12552381,ERR12552381,335
ERR12552384,ERR12552384,335
ERR160996,ERR160996,216
ERR3635287,ERR3635287,216
ERR4145345,ERR4145345,216
ERR4145353,ERR4145353,216
ERR4145363,ERR4145363,216
ERR4145388,ERR4145388,216
ERR4145392,ERR4145392,216
ERR4145410,ERR4145410,216
ERR4338560,ERR4338560,216
ERR4338896,ERR4338896,216
ERR4399358,ERR4399358,335
ERR4399362,ERR4399362,335
ERR4399363,ERR4399363,216
ERR4399957,ERR4399957,335
ERR4400265,ERR4400265,216
ERR4400834,ERR4400834,216
ERR4400884,ERR4400884,216
ERR4401297,ERR4401297,216
ERR4401298,ERR4401298,216
ERR4401299,ERR4401299,216
ERR4401598,ERR4401598,216
ERR4451427,ERR4451427,335
ERR4451478,ERR4451478,335
ERR5750995,ERR5750995,335
ERR5751227,ERR5751227,335
ERR5751296,ERR5751296,335
ERR5751304,ERR5751304,335
ERR5751308,ERR5751308,335
ERR5751726,ERR5751726,335
ERR5751808,ERR5751808,335
ERR6752863,ERR6752863,335
ERR6752889,ERR6752889,335
ERR6752971,ERR6752971,335
ERR6753111,ERR6753111,335
ERR6805990,ERR6805990,335
ERR6805998,ERR6805998,335
ERR6806028,ERR6806028,335
ERR6806075,ERR6806075,335
ERR6806125,ERR6806125,335
ERR6806255,ERR6806255,335
ERR6806317,ERR6806317,335
ERR6806512,ERR6806512,335
ERR6806600,ERR6806600,335
ERR6806632,ERR6806632,335
ERR6806714,ERR6806714,335
ERR6806726,ERR6806726,335
ERR6806749,ERR6806749,335
ERR6806776,ERR6806776,335
ERR6806789,ERR6806789,335
ERR6806796,ERR6806796,335
ERR6806833,ERR6806833,335
ERR7197741,ERR7197741,335
ERR7197757,ERR7197757,335
ERR7197834,ERR7197834,335
ERR9079508,ERR9079508,335
ERR9079758,ERR9079758,335
ERR9079768,ERR9079768,335
ERR9079830,ERR9079830,335
ERR9288082,ERR9288082,335
ERR9288143,ERR9288143,335
ERR9420153,ERR9420153,335
ERR9692774,ERR9692774,335
ERR9785509,ERR9785509,335
ERR9785510,ERR9785510,335
ERR9785511,ERR9785511,335
ERR9785512,ERR9785512,335
ERR9820422,ERR9820422,335
ERR9822144,ERR9822144,335
ERR9822145,ERR9822145,335
ERR9822146,ERR9822146,335
ERR9822149,ERR9822149,335
ERR9822151,ERR9822151,335
ERR9924209,ERR9924209,335
ERR9929342,ERR9929342,335
ERR9941258,ERR9941258,335
ERR9966382,ERR9966382,335
ERR9966386,ERR9966386,335
ERR9966387,ERR9966387,335
ERR9966388,ERR9966388,335
ERR9966389,ERR9966389,335
ERR9966390,ERR9966390,335
ERR9971918,ERR9971918,335
ERR9976609,ERR9976609,335
SRR10326268,SRR10326268,216
SRR10992537,SRR10992537,216
SRR1106479,SRR1106479,216
SRR13277412,SRR13277412,216
SRR13277416,SRR13277416,216
SRR13277434,SRR13277434,216
SRR13311773,SRR13311773,216
SRR13312061,SRR13312061,216
SRR13313312,SRR13313312,216
SRR13719196,SRR13719196,216
SRR13719289,SRR13719289,216
SRR13719614,SRR13719614,216
SRR14360286,SRR14360286,216
SRR14921286,SRR14921286,216
SRR15853458,SRR15853458,216
SRR1646109,SRR1646109,216
SRR21535455,SRR21535455,216
SRR21535466,SRR21535466,216
SRR21787058,SRR21787058,216
SRR21787324,SRR21787324,216
SRR22175068,SRR22175068,216
SRR26050334,SRR26050334,216
SRR26858817,SRR26858817,216
SRR27185117,SRR27185117,216
SRR27481520,SRR27481520,216
SRR27481649,SRR27481649,216
SRR27481651,SRR27481651,216
SRR27481815,SRR27481815,216
SRR27481822,SRR27481822,216
SRR27762886,SRR27762886,216
SRR28295566,SRR28295566,216
SRR2917136,SRR2917136,216
SRR2917137,SRR2917137,216
SRR2917138,SRR2917138,216
SRR2917139,SRR2917139,216
SRR2917140,SRR2917140,216
SRR3001933,SRR3001933,216
SRR3137069,SRR3137069,216
SRR5056398,SRR5056398,216
SRR5084265,SRR5084265,216
SRR5121494,SRR5121494,216
SRR5121497,SRR5121497,216
SRR5379276,SRR5379276,216
SRR6107195,SRR6107195,216
SRR6457657,SRR6457657,216
SRR7130368,SRR7130368,216
SRR7130369,SRR7130369,216
SRR7130370,SRR7130370,216
SRR7130371,SRR7130371,216
SRR7427053,SRR7427053,216
SRR7457932,SRR7457932,5028
SRR7467291,SRR7467291,216
SRR8137438,SRR8137438,216
SRR8293522,SRR8293522,216
SRR8325561,SRR8325561,216
SRR8503644,SRR8503644,216
SRR9273829,SRR9273829,335
SRR9627787,SRR9627787,216
ERR10109287,ERR10109287,216
ERR3581536,ERR3581536,216
ERR3635266,ERR3635266,216
ERR4399344,ERR4399344,216
ERR4401589,ERR4401589,1994
ERR6806710,ERR6806710,216
ERR9680890,ERR9680890,216
SRR1106363,SRR1106363,3390
SRR13313295,SRR13313295,216
SRR13313309,SRR13313309,216
SRR13833609,SRR13833609,335
SRR16227977,SRR16227977,216
SRR16301618,SRR16301618,216
SRR1643104,SRR1643104,1994
SRR1810522,SRR1810522,1994
SRR1966891,SRR1966891,216
SRR1967735,SRR1967735,216
SRR1973602,SRR1973602,216
SRR20212638,SRR20212638,216
SRR21224019,SRR21224019,216
SRR2173991,SRR2173991,1994
SRR22691594,SRR22691594,216
SRR26463587,SRR26463587,1994
SRR2961321,SRR2961321,1994
SRR3002514,SRR3002514,216
SRR3322715,SRR3322715,1994
SRR5799674,SRR5799674,1994
SRR6684992,SRR6684992,1994
SRR6685117,SRR6685117,1994
SRR7292689,SRR7292689,1994
SRR7292863,SRR7292863,216
SRR7841631,SRR7841631,216
SRR7842526,SRR7842526,216
SRR7850690,SRR7850690,216
SRR7884719,SRR7884719,216
SRR8297279,SRR8297279,216
SRR8350305,SRR8350305,216
SRR8369293,SRR8369293,216
SRR8706049,SRR8706049,216
SRR952929,SRR952929,216
