isolate_id,44341_3_304,44341_3_305,44341_3_281,CIV13XE8,44341_3_128,44341_3_131,44341_3_136,CIV13PE7,CIT159B1,CIT15EB1,CIS153C1,CIV147E3,CIT15FH1,CIV143E2,CIU145B1,44341_3_310,CIV13XE2,44341_4_275,CIT15FB1,CIV13XU1,CIV142E6,CIV143U1,CIV143E9,CNS1F3,CAAYSI,CIT15GS1,CIV13RE2,CIV141E6,CIS15HB1,CIV140U1,CIV140E4,CIV140E7,CAAXQV,CIV13UE4,CIS15MR1,CIV13YE6,CIV143E4,CIV13XE5,CIT15GH1,CIV140E1,CIV140E6,CIU13XS1,CIV146E8,CIU149H1,CIV144E6,CIV13VE5,CIV13YE8,CIV144U1,CNSP0U,CNSKFP,CNSLL4,ERR9941258,ERR9929342,ERR9966382,CLL3JA,CNS7YP,BKRRIF,CNS6QU,44341_3_96,44341_3_21,BKRMVD,CAAYDF,CAAXBN,44341_3_165,44341_3_262,44341_3_265,44341_4_286,44341_3_268,44341_3_280,CAAP2A,CNSFP4,CNSDXZ,CAAQXB,CAAR9T,CAAQUT,CAARE3,CLL6CH,ERR10438737,ERR10113269,ERR6752971,ERR5751227,ERR9976609,ERR11219800,ERR12142619,ERR11747325,ERR11502778,ERR7197834,ERR9079758,ERR6806255,ERR6805990,ERR6806776,ERR5750995,ERR6806749,ERR6805998,ERR6806833,ERR12080226,ERR12321283,ERR12321282,ERR12067314,ERR12321281,ERR12142634,ERR6753111,ERR6806796,ERR6806789,ERR9971918,ERR7197741,ERR5751808,ERR12321280,ERR9692774,ERR6752863,SRR9273829,ERR9079830,ERR10880116,ERR5751304,ERR6806714,ERR5751296,ERR4451427,ERR6806125,ERR6806317,ERR12067371,ERR6806075,ERR10176870,ERR10460856,ERR10460902,ERR6806726,ERR12078572,ERR11747320,ERR12495482,ERR5751726,ERR6806512,ERR9924209,ERR10460483,ERR9785511,ERR10087012,ERR9079768,ERR9822149,ERR9822145,ERR9822146,ERR9785509,ERR10176872,ERR9966389,ERR10460765,ERR10109275,ERR11807704,ERR10109276,ERR9785510,ERR9820422,ERR10880181,ERR10088101,ERR12312688,ERR11201827,ERR12312689,ERR12495485,ERR12312692,ERR10123168,ERR10123167,ERR9966387,ERR10949310,ERR10460875,ERR9966390,ERR10176866,ERR10460687,ERR12078573,ERR9785512,ERR12165616,ERR10460887,ERR10880335,ERR10880156,ERR10880377,ERR10088105,ERR12321284,ERR9966388,ERR10026000,ERR9822144,ERR10088104,ERR10088102,ERR9822151,ERR10109255,ERR11810274,ERR9966386,ERR12259395,ERR12091513,ERR10125140,ERR10949303,ERR10109277,ERR10087013,ERR12146144,ERR11219811,ERR11420238,ERR11437918,ERR11807709,ERR10880183,ERR10880311,ERR10109274,ERR12552381,ERR12552377,ERR11896635,ERR9079508,ERR9420153,ERR10117717,ERR6806600,ERR7197757,ERR6806028,ERR9288082,ERR11455881,ERR6806632,ERR4451478,ERR12302226,ERR12552384,ERR12067334,ERR10880424,ERR10123158,ERR10176869,ERR10880230,ERR11453719,ERR10880157,ERR11872767,ERR6752889,ERR9288143,ERR5751308,ERR4399358,ERR4399957,ERR4399362,SRR13833609,SRR13719289,SRR13719614,SRR13313312,SRR13313295,SRR13719196,SRR13277434,SRR13277416,SRR13277412,SRR13311773,SRR13313309,SRR27481822,SRR27481651,SRR27481649,SRR27481520,SRR27481815,SRR7130368,SRR7130370,SRR7130371,SRR13312061,SRR7130369,ERR4400834,ERR4338896,ERR4338560,SRR1106479,ERR3581536,SRR8369293,SRR7842526,SRR8297279,SRR7850690,SRR7884719,SRR8350305,SRR15853458,SRR21224019,SRR20212638,SRR8706049,SRR16227977,ERR4399344,SRR7841631,SRR22691594,SRR16301618,ERR10109287,ERR9680890,SRR14921286,SRR28295566,ERR4145363,ERR4145392,ERR4145410,ERR4145345,SRR8325561,SRR8293522,ERR4145388,ERR4145353,SRR10326268,SRR9627787,SRR27762886,SRR10992537,SRR1646109,SRR7427053,SRR8503644,SRR7457932,SRR2917137,SRR2917139,SRR3137069,SRR6107195,SRR2917138,SRR2917136,SRR5084265,SRR5121494,SRR3001933,SRR5121497,SRR2917140,ERR10368770,ERR160996,SRR5056398,ERR3635287,SRR22175068,SRR21787058,SRR21787324,SRR26858817,SRR27185117,SRR21535455,SRR21535466,SRR26050334,SRR5379276,SRR6457657,SRR14360286,SRR8137438,ERR3635266,SRR1973602,SRR3002514,SRR7467291,ERR4400884,ERR4399363,ERR4401298,ERR4400265,ERR4401598,ERR4401297,ERR4401299,ERR6806710,SRR952929,SRR7292863,SRR1966891,SRR1967735
CIV13XE5,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10369,10694,7100,10707,10633,10543,10689,10651,10661,10603,10460,10504,10464,10467,10465,10513,10501,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10105,10169,10827,10584,10454,10319,10539,10576,10518,10474,10595,10353,10446,11894,10294,10390,8589,8671,8772,8723,8819,8597,8493,8657,8496,8713,8851,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8020,8043,7793,7706,7625,7706,7786,7808,7767,7794,7769,7811,7806,7794,7799,7733,7710,7565,7998,7873
CIT15GH1,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10370,10693,7100,10706,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10105,10170,10825,10583,10454,10319,10539,10576,10518,10474,10593,10353,10446,11894,10294,10390,8589,8671,8772,8723,8819,8597,8493,8657,8496,8713,8851,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8020,8043,7793,7706,7625,7706,7786,7808,7767,7794,7769,7811,7806,7794,7799,7733,7710,7565,7998,7873
CIV140E1,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,261,179,180,179,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,400,397,246,310,10370,10696,7100,10710,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10105,10170,10828,10587,10454,10319,10539,10576,10518,10474,10597,10353,10446,11886,10294,10390,8589,8671,8772,8723,8818,8597,8493,8657,8495,8713,8850,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8020,8043,7793,7706,7625,7706,7786,7808,7767,7794,7769,7811,7806,7794,7799,7733,7710,7565,7998,7873
CIV140E6,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,360,164,262,179,180,180,127,182,179,181,167,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10362,10684,7092,10696,10626,10535,10681,10644,10654,10602,10452,10496,10456,10459,10457,10505,10494,10527,10678,10547,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10652,10364,10097,10161,10814,10572,10446,10311,10531,10568,10510,10466,10583,10345,10438,11884,10286,10382,8575,8657,8758,8709,8805,8583,8480,8643,8482,8699,8838,8613,7816,7731,7775,7976,7940,7915,7963,7895,7962,7952,7959,8007,8030,7779,7693,7620,7701,7781,7794,7764,7791,7766,7808,7803,7789,7794,7728,7705,7560,7993,7868
CIU13XS1,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10370,10694,7100,10707,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10663,10372,10107,10171,10824,10586,10454,10319,10539,10576,10518,10474,10594,10353,10446,11894,10294,10390,8589,8673,8774,8725,8817,8599,8495,8659,8494,8715,8849,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8020,8043,7793,7706,7625,7706,7786,7808,7767,7794,7769,7811,7806,7794,7799,7733,7710,7565,7998,7873
CIV146E8,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,15,22,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,29,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,179,187,173,55,52,47,111,72,74,74,73,333,164,258,174,175,175,111,178,175,176,164,163,265,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,87,83,85,80,79,77,89,88,93,92,90,85,98,201,389,386,240,310,10354,10680,7093,10692,10622,10532,10677,10640,10650,10591,10449,10493,10453,10456,10454,10503,10491,10525,10676,10545,9702,9623,9650,9596,9932,9816,9517,9535,9580,9543,9527,9553,9618,10016,9707,9767,9614,9603,10349,9585,9600,9633,10644,10369,10088,10151,10802,10563,10451,10316,10536,10573,10515,10471,10588,10350,10443,11860,10291,10387,8576,8660,8761,8712,8804,8586,8485,8646,8481,8702,8836,8612,7822,7737,7780,7983,7947,7922,7970,7902,7969,7959,7966,8014,8036,7785,7699,7618,7699,7779,7800,7756,7783,7758,7800,7795,7781,7786,7726,7703,7558,7991,7866
CIU149H1,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10369,10695,7100,10709,10633,10543,10689,10651,10661,10603,10460,10504,10464,10467,10465,10513,10501,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10105,10168,10825,10586,10454,10319,10539,10576,10518,10474,10597,10353,10446,11894,10294,10390,8587,8671,8772,8723,8815,8597,8493,8657,8492,8713,8847,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8020,8043,7793,7706,7625,7706,7786,7808,7767,7794,7769,7811,7806,7794,7799,7733,7710,7565,7998,7873
CIV144E6,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,44,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,362,164,262,179,180,180,127,182,179,181,168,168,269,228,244,148,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,153,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,83,83,85,80,79,77,89,88,93,92,90,85,98,207,400,397,246,310,10369,10694,7100,10707,10633,10543,10689,10651,10661,10603,10460,10504,10464,10467,10465,10513,10501,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10660,10372,10104,10167,10822,10583,10454,10319,10539,10576,10518,10473,10595,10353,10446,11888,10294,10390,8585,8669,8770,8721,8813,8595,8492,8655,8490,8711,8845,8624,7828,7743,7783,7988,7952,7927,7975,7907,7974,7964,7971,8019,8042,7792,7705,7624,7705,7785,7807,7766,7793,7768,7810,7805,7793,7798,7732,7709,7564,7997,7872
CIV13VE5,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,396,393,246,310,10369,10694,7100,10707,10633,10543,10689,10651,10661,10603,10460,10504,10464,10467,10465,10513,10501,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10660,10372,10105,10169,10826,10584,10454,10319,10539,10576,10518,10474,10595,10353,10446,11894,10294,10390,8577,8659,8759,8711,8806,8583,8480,8644,8484,8701,8838,8615,7823,7738,7782,7984,7948,7923,7971,7903,7970,7960,7967,8015,8037,7787,7700,7619,7700,7780,7802,7763,7790,7765,7807,7801,7788,7793,7727,7704,7559,7992,7867
CIV13YE8,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10370,10696,7100,10711,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10105,10170,10829,10588,10454,10319,10539,10576,10518,10474,10598,10353,10446,11894,10294,10390,8589,8670,8771,8722,8818,8597,8493,8656,8494,8712,8850,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8019,8043,7793,7706,7625,7705,7786,7808,7766,7794,7768,7810,7805,7793,7799,7733,7710,7565,7998,7873
CIV144U1,1,1,1,2,3,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,18,17,24,8,8,10,6,8,8,8,7,7,2,2,2,8,12,12,12,12,12,4,12,15,15,16,16,15,15,46,53,31,30,43,32,39,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,181,188,174,56,53,48,111,73,75,75,74,364,165,263,180,181,181,128,183,180,182,169,169,270,229,245,154,147,149,82,146,147,144,143,144,153,150,151,149,144,154,146,150,148,150,151,157,145,146,144,151,147,151,147,146,149,146,146,83,85,83,84,146,86,144,164,151,150,151,152,151,149,148,147,146,146,148,148,146,145,148,147,147,147,83,91,150,146,147,145,143,86,81,83,75,78,73,85,78,89,84,86,81,80,78,90,89,94,93,91,86,98,208,399,396,247,310,10370,10696,7100,10711,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10106,10170,10830,10588,10454,10319,10539,10576,10518,10474,10598,10353,10446,11894,10294,10390,8589,8671,8772,8723,8819,8597,8493,8657,8496,8713,8851,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8020,8043,7793,7706,7625,7706,7786,7808,7766,7794,7768,7810,7805,7793,7799,7733,7710,7565,7998,7873
CNSP0U,17,17,17,18,19,18,18,18,17,17,18,17,17,17,17,18,18,17,18,18,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,18,0,1,5,14,14,16,12,14,14,14,13,13,16,16,16,22,26,26,26,26,26,18,25,29,28,30,30,29,27,59,67,45,44,56,46,53,63,59,53,55,66,55,54,54,56,68,67,54,54,54,55,68,68,60,60,58,54,58,59,195,202,188,69,65,61,126,87,89,89,88,376,178,276,194,195,195,142,197,194,196,183,183,284,243,259,168,161,163,96,160,161,158,157,158,167,164,165,163,158,168,160,164,162,164,165,171,159,160,158,165,161,165,161,160,163,160,160,97,99,97,98,160,100,158,178,165,164,165,166,166,163,162,161,160,160,162,162,160,159,162,161,161,161,97,105,164,160,161,159,156,100,95,97,88,92,87,99,92,103,98,100,95,94,92,104,103,108,107,105,100,113,222,411,408,261,323,10384,10710,7114,10725,10648,10557,10704,10666,10676,10617,10474,10518,10478,10481,10479,10526,10515,10548,10699,10568,9721,9642,9669,9615,9950,9834,9536,9554,9599,9561,9546,9572,9637,10029,9725,9785,9633,9622,10368,9604,9616,9649,10674,10385,10118,10182,10839,10601,10467,10332,10552,10589,10531,10487,10611,10366,10459,11907,10307,10403,8596,8680,8781,8732,8824,8606,8501,8665,8501,8722,8856,8635,7842,7757,7796,7997,7961,7936,7984,7916,7983,7973,7980,8028,8052,7806,7719,7638,7719,7799,7821,7781,7808,7783,7825,7819,7808,7813,7746,7723,7578,8011,7886
CNSKFP,16,16,16,17,18,17,17,17,16,16,17,16,16,16,16,17,17,16,17,17,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,17,1,0,8,13,13,15,11,13,13,13,12,12,15,15,15,21,24,24,24,24,24,17,24,28,27,29,29,28,26,58,64,44,43,55,45,52,62,58,52,54,65,54,53,53,55,67,66,53,53,53,54,67,67,59,59,57,53,57,58,193,200,186,67,63,59,124,86,88,88,87,373,177,269,187,188,188,138,190,187,189,176,176,277,241,255,166,160,161,95,158,159,157,156,156,166,162,164,161,156,166,158,163,160,163,164,169,157,159,157,163,158,163,160,159,161,159,158,95,97,95,96,158,97,157,177,164,163,163,165,165,160,159,159,158,158,160,160,159,158,160,159,160,160,95,104,163,159,159,158,154,98,94,95,87,90,86,96,91,101,97,98,94,92,90,103,102,107,106,104,99,111,221,409,406,260,320,10342,10661,7084,10673,10606,10516,10658,10624,10631,10572,10433,10477,10434,10440,10438,10480,10469,10503,10654,10524,9679,9600,9628,9574,9908,9793,9495,9513,9558,9521,9503,9531,9596,9992,9686,9746,9589,9580,10324,9562,9572,9604,10626,10339,10070,10135,10785,10542,10421,10283,10507,10541,10485,10442,10555,10321,10414,11861,10260,10358,8568,8649,8750,8701,8798,8575,8474,8634,8474,8691,8830,8607,7810,7727,7771,7969,7937,7912,7960,7892,7959,7949,7953,8000,8023,7774,7691,7613,7691,7769,7788,7753,7781,7755,7798,7791,7780,7786,7716,7693,7550,7978,7854
CNSLL4,23,23,23,24,25,24,24,24,23,23,24,23,23,23,23,24,24,23,24,24,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,24,5,8,0,21,21,23,19,21,21,21,20,20,22,22,22,28,32,32,32,32,32,24,31,35,34,35,35,34,33,62,70,49,48,60,50,57,67,63,57,59,70,59,57,57,59,71,71,57,57,57,58,72,72,64,64,62,58,61,62,198,205,191,72,66,62,130,91,92,92,91,377,182,258,176,177,177,144,181,178,180,167,167,267,244,259,169,162,164,99,161,162,159,158,159,168,165,166,164,159,168,161,165,163,165,166,172,160,161,159,166,161,166,162,161,164,161,161,100,102,100,101,161,103,159,178,166,165,166,167,167,163,163,162,161,161,162,163,161,160,163,162,162,162,99,107,165,161,162,160,157,103,98,100,91,95,90,99,95,105,100,102,98,97,95,106,105,110,109,107,102,113,217,398,397,257,319,10148,10456,6956,10470,10401,10312,10458,10414,10424,10366,10229,10271,10232,10232,10237,10270,10257,10291,10441,10315,9491,9413,9438,9390,9714,9599,9310,9331,9369,9337,9317,9341,9406,9807,9502,9556,9404,9389,10129,9380,9398,9425,10432,10150,9877,9950,10596,10355,10219,10080,10308,10344,10286,10243,10367,10125,10220,11667,10066,10166,8374,8451,8553,8504,8598,8380,8272,8439,8279,8494,8630,8407,7631,7547,7587,7788,7753,7728,7776,7708,7775,7765,7773,7820,7843,7596,7510,7432,7508,7590,7611,7565,7593,7567,7608,7602,7593,7597,7534,7514,7369,7788,7665
ERR9941258,7,7,7,8,9,8,8,8,7,7,8,7,7,7,7,8,8,7,8,8,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,14,13,21,0,2,4,2,4,4,4,3,3,6,6,6,12,16,16,16,16,16,8,15,19,18,20,20,19,18,49,55,35,34,47,36,43,53,49,43,45,56,45,44,44,46,58,57,44,44,44,45,58,58,50,50,48,44,48,49,184,191,177,59,56,51,116,77,79,79,78,366,168,267,184,185,185,132,187,184,186,173,173,274,233,247,158,151,153,86,150,151,148,147,148,157,154,155,153,148,158,150,154,152,154,155,161,149,150,148,155,151,155,151,150,153,150,150,87,89,87,88,150,90,148,168,155,154,155,156,156,153,152,151,150,150,152,152,150,149,152,151,151,151,87,95,154,150,151,149,146,90,85,87,79,82,77,89,82,93,88,90,85,84,82,94,93,98,97,95,90,103,212,406,403,251,314,10373,10693,7102,10705,10637,10547,10690,10655,10663,10604,10464,10508,10466,10471,10469,10516,10505,10538,10688,10559,9712,9633,9660,9606,9940,9824,9527,9545,9590,9553,9535,9563,9628,10024,9717,9777,9622,9613,10359,9595,9605,9638,10664,10376,10108,10171,10819,10581,10458,10323,10543,10578,10522,10478,10593,10357,10450,11897,10298,10394,8586,8670,8770,8722,8814,8595,8495,8655,8491,8712,8846,8629,7831,7745,7787,7991,7957,7932,7980,7912,7979,7969,7974,8020,8044,7794,7710,7629,7708,7787,7809,7771,7798,7773,7815,7810,7798,7803,7735,7712,7569,8002,7877
