isolate_id	source_isolate_id	run_accession	sample_accession	sequence_type	in_CC25_tree	in_ST335_tree	CC25_order	ST335_order	CC25_panel	ST335_panel	phenotyped_Kenneth
CIV13XE5	CIV13XE5_S19_L001	ERR16714701	ERS29128506	335	1	1	38	38	CC25-02	ST335-02	0
CIT15GH1	CIT15GH1_S36_L001	ERR16714691	ERS29128496	335	1	1	39	39	CC25-02	ST335-02	0
CIV140E1	CIV140E1_S30_L001	ERR16714706	ERS29128511	335	1	1	40	40	CC25-02	ST335-02	0
CIV140E6	CIV140E6_S2_L001	ERR16714708	ERS29128513	335	1	1	41	41	CC25-02	ST335-02	1
CIU13XS1	CIU13XS1_S15_L001	ERR16714693	ERS29128498	335	1	1	42	42	CC25-02	ST335-02	0
CIV146E8	CIV146E8_S25_L001	ERR16714719	ERS29128524	335	1	1	43	43	CC25-02	ST335-02	1
CIU149H1	CIU149H1_S7_L001	ERR16714695	ERS29128500	335	1	1	44	44	CC25-02	ST335-02	1
CIV144E6	CIV144E6_S33_L001	ERR16714717	ERS29128522	335	1	1	45	45	CC25-02	ST335-02	1
CIV13VE5	CIV13VE5_S21_L001	ERR16714699	ERS29128504	335	1	1	46	46	CC25-02	ST335-02	0
CIV13YE8	CIV13YE8_S22_L001	ERR16714705	ERS29128510	335	1	1	47	47	CC25-02	ST335-02	1
CIV144U1	CIV144U1_S34_L001	ERR16714718	ERS29128523	335	1	1	48	48	CC25-02	ST335-02	1
CNSP0U	CNSP0U_S18_L001	ERR16714732	ERS29128537	335	1	1	49	49	CC25-02	ST335-02	0
CNSKFP	CNSKFP_S19_L001	ERR16714729	ERS29128534	335	1	1	50	50	CC25-02	ST335-02	0
CNSLL4	CNSLL4_S20_L001	ERR16714730	ERS29128535	335	1	1	51	51	CC25-02	ST335-02	0
ERR9941258	ERR9941258	ERR9941258	ERS12446656	335	1	1	52	52	CC25-02	ST335-02	0
ERR9929342	ERR9929342	ERR9929342	ERS12419513	335	1	1	53	53	CC25-02	ST335-02	0
ERR9966382	ERR9966382	ERR9966382	ERS12472969	335	1	1	54	54	CC25-02	ST335-02	0
CLL3JA	CLL3JA_S28_L001	ERR16714721	ERS29128526	335	1	1	55	55	CC25-02	ST335-02	0
CNS7YP	CNS7YP_S5_L001	ERR16714726	ERS29128531	335	1	1	56	56	CC25-02	ST335-02	0
BKRRIF	BKRRIF_S2_L001	ERR16714670	ERS29128475	335	1	1	57	57	CC25-02	ST335-02	0
CNS6QU	CNS6QU_S4_L001	ERR16714725	ERS29128530	335	1	1	58	58	CC25-02	ST335-02	0
44341_3_96	44341_3#96	ERR16714666	ERS29128471	335	1	1	59	59	CC25-02	ST335-02	0
44341_3_21	44341_3#21	ERR16714657	ERS29128462	335	1	1	60	60	CC25-02	ST335-02	0
BKRMVD	BKRMVD_S15_L001	ERR16714669	ERS29128474	335	1	1	61	61	CC25-02	ST335-02	0
CAAYDF	CAAYDF_S3_L001	ERR16714681	ERS29128486	335	1	1	62	62	CC25-02	ST335-02	0
CAAXBN	CAAXBN_S10_L001	ERR16714679	ERS29128484	335	1	1	63	63	CC25-02	ST335-02	0
44341_3_165	44341_3#165	ERR16714656	ERS29128461	335	1	1	64	64	CC25-02	ST335-02	0
44341_3_262	44341_3#262	ERR16714658	ERS29128463	335	1	1	65	65	CC25-02	ST335-02	0
44341_3_265	44341_3#265	ERR16714659	ERS29128464	335	1	1	66	66	CC25-02	ST335-02	0
44341_4_286	44341_4#286	ERR16714668	ERS29128473	335	1	1	67	67	CC25-03	ST335-03	0
44341_3_268	44341_3#268	ERR16714660	ERS29128465	335	1	1	68	68	CC25-03	ST335-03	0
44341_3_280	44341_3#280	ERR16714661	ERS29128466	335	1	1	69	69	CC25-03	ST335-03	0
CAAP2A	CAAP2A_S14_L001	ERR16714672	ERS29128477	335	1	1	70	70	CC25-03	ST335-03	0
CNSFP4	CNSFP4_S1_L001	ERR16714728	ERS29128533	335	1	1	71	71	CC25-03	ST335-03	0
CNSDXZ	CNSDXZ_S1_L001	ERR16714727	ERS29128532	335	1	1	72	72	CC25-03	ST335-03	0
CAAQXB	CAAQXB_S13_L001	ERR16714675	ERS29128480	335	1	1	73	73	CC25-03	ST335-03	0
CAAR9T	CAAR9T_S6_L001	ERR16714676	ERS29128481	335	1	1	74	74	CC25-03	ST335-03	0
CAAQUT	CAAQUT_S12_L001	ERR16714674	ERS29128479	335	1	1	75	75	CC25-03	ST335-03	0
CAARE3	CAARE3_S13_L001	ERR16714677	ERS29128482	335	1	1	76	76	CC25-03	ST335-03	0
CLL6CH	CLL6CH_S17_L001	ERR16714722	ERS29128527	335	1	1	77	77	CC25-03	ST335-03	0
ERR10438737	ERR10438737	ERR10438737	ERS13617319	335	1	1	78	78	CC25-03	ST335-03	0
ERR10113269	ERR10113269	ERR10113269	ERS12799913	335	1	1	79	79	CC25-03	ST335-03	0
ERR6752971	ERR6752971	ERR6752971	ERS7770191	335	1	1	80	80	CC25-03	ST335-03	0
ERR5751227	ERR5751227	ERR5751227	ERS6282873	335	1	1	81	81	CC25-03	ST335-03	0
ERR9976609	ERR9976609	ERR9976609	ERS12496855	335	1	1	82	82	CC25-03	ST335-03	0
ERR11219800	ERR11219800	ERR11219800	ERS14904180	335	1	1	83	83	CC25-03	ST335-03	0
ERR12142619	ERR12142619	ERR12142619	ERS16508086	335	1	1	84	84	CC25-03	ST335-03	0
ERR11747325	ERR11747325	ERR11747325	ERS16093247	335	1	1	85	85	CC25-03	ST335-03	0
ERR11502778	ERR11502778	ERR11502778	ERS15562768	335	1	1	86	86	CC25-03	ST335-03	0
ERR7197834	ERR7197834	ERR7197834	ERS8210686	335	1	1	87	87	CC25-03	ST335-03	0
ERR9079758	ERR9079758	ERR9079758	ERS10862849	335	1	1	88	88	CC25-03	ST335-03	0
ERR6806255	ERR6806255	ERR6806255	ERS7644978	335	1	1	89	89	CC25-03	ST335-03	0
ERR6805990	ERR6805990	ERR6805990	ERS7644713	335	1	1	90	90	CC25-03	ST335-03	0
ERR6806776	ERR6806776	ERR6806776	ERS7645497	335	1	1	91	91	CC25-03	ST335-03	0
ERR5750995	ERR5750995	ERR5750995	ERS6282641	335	1	1	92	92	CC25-03	ST335-03	0
ERR6806749	ERR6806749	ERR6806749	ERS7645470	335	1	1	93	93	CC25-03	ST335-03	0
ERR6805998	ERR6805998	ERR6805998	ERS7644721	335	1	1	94	94	CC25-03	ST335-03	0
ERR6806833	ERR6806833	ERR6806833	ERS7645554	335	1	1	95	95	CC25-03	ST335-03	0
ERR12080226	ERR12080226	ERR12080226	ERS16430401	335	1	1	96	96	CC25-03	ST335-03	0
ERR12321283	ERR12321283	ERR12321283	ERS17171917	335	1	1	97	97	CC25-03	ST335-03	0
ERR12321282	ERR12321282	ERR12321282	ERS17171916	335	1	1	98	98	CC25-03	ST335-03	0
ERR12067314	ERR12067314	ERR12067314	ERS16390336	335	1	1	99	99	CC25-03	ST335-03	0
ERR12321281	ERR12321281	ERR12321281	ERS17171915	335	1	1	100	100	CC25-04	ST335-04	0
ERR12142634	ERR12142634	ERR12142634	ERS16508101	335	1	1	101	101	CC25-04	ST335-04	0
ERR6753111	ERR6753111	ERR6753111	ERS7770331	335	1	1	102	102	CC25-04	ST335-04	0
ERR6806796	ERR6806796	ERR6806796	ERS7645517	335	1	1	103	103	CC25-04	ST335-04	0
ERR6806789	ERR6806789	ERR6806789	ERS7645510	335	1	1	104	104	CC25-04	ST335-04	0
ERR9971918	ERR9971918	ERR9971918	ERS12480441	335	1	1	105	105	CC25-04	ST335-04	0
ERR7197741	ERR7197741	ERR7197741	ERS8210595	335	1	1	106	106	CC25-04	ST335-04	0
ERR5751808	ERR5751808	ERR5751808	ERS6283454	335	1	1	107	107	CC25-04	ST335-04	0
ERR12321280	ERR12321280	ERR12321280	ERS17171914	335	1	1	108	108	CC25-04	ST335-04	0
ERR9692774	ERR9692774	ERR9692774	ERS11935911	335	1	1	109	109	CC25-04	ST335-04	0
ERR6752863	ERR6752863	ERR6752863	ERS7770083	335	1	1	110	110	CC25-04	ST335-04	0
SRR9273829	SRR9273829	SRR9273829	SRS4947096	335	1	1	111	111	CC25-04	ST335-04	0
ERR9079830	ERR9079830	ERR9079830	ERS10862921	335	1	1	112	112	CC25-04	ST335-04	0
ERR10880116	ERR10880116	ERR10880116	ERS14631590	335	1	1	113	113	CC25-04	ST335-04	0
ERR5751304	ERR5751304	ERR5751304	ERS6282950	335	1	1	114	114	CC25-04	ST335-04	0
ERR6806714	ERR6806714	ERR6806714	ERS7645435	335	1	1	115	115	CC25-04	ST335-04	0
ERR5751296	ERR5751296	ERR5751296	ERS6282942	335	1	1	116	116	CC25-04	ST335-04	0
ERR4451427	ERR4451427	ERR4451427	ERS4936998	335	1	1	117	117	CC25-04	ST335-04	0
ERR6806125	ERR6806125	ERR6806125	ERS7644848	335	1	1	118	118	CC25-04	ST335-04	0
ERR6806317	ERR6806317	ERR6806317	ERS7645040	335	1	1	119	119	CC25-04	ST335-04	0
ERR12067371	ERR12067371	ERR12067371	ERS16390441	335	1	1	120	120	CC25-04	ST335-04	0
ERR6806075	ERR6806075	ERR6806075	ERS7644798	335	1	1	121	121	CC25-04	ST335-04	0
ERR10176870	ERR10176870	ERR10176870	ERS13445953	335	1	1	122	122	CC25-04	ST335-04	0
ERR10460856	ERR10460856	ERR10460856	ERS13656118	335	1	1	123	123	CC25-04	ST335-04	0
ERR10460902	ERR10460902	ERR10460902	ERS13656164	335	1	1	124	124	CC25-04	ST335-04	0
ERR6806726	ERR6806726	ERR6806726	ERS7645447	335	1	1	125	125	CC25-04	ST335-04	0
ERR12078572	ERR12078572	ERR12078572	ERS16427368	335	1	1	126	126	CC25-04	ST335-04	0
ERR11747320	ERR11747320	ERR11747320	ERS16093242	335	1	1	127	127	CC25-04	ST335-04	0
ERR12495482	ERR12495482	ERR12495482	ERS17748274	335	1	1	128	128	CC25-04	ST335-04	0
ERR5751726	ERR5751726	ERR5751726	ERS6283372	335	1	1	129	129	CC25-04	ST335-04	0
ERR6806512	ERR6806512	ERR6806512	ERS7645233	335	1	1	130	130	CC25-04	ST335-04	0
ERR9924209	ERR9924209	ERR9924209	ERS12382480	335	1	1	131	131	CC25-04	ST335-04	0
ERR10460483	ERR10460483	ERR10460483	ERS13655839	335	1	1	132	132	CC25-05	ST335-05	0
ERR9785511	ERR9785511	ERR9785511	ERS12086359	335	1	1	133	133	CC25-05	ST335-05	0
ERR10087012	ERR10087012	ERR10087012	ERS12761375	335	1	1	134	134	CC25-05	ST335-05	0
ERR9079768	ERR9079768	ERR9079768	ERS10862859	335	1	1	135	135	CC25-05	ST335-05	0
ERR9822149	ERR9822149	ERR9822149	ERS12149066	335	1	1	136	136	CC25-05	ST335-05	0
ERR9822145	ERR9822145	ERR9822145	ERS12149062	335	1	1	137	137	CC25-05	ST335-05	0
ERR9822146	ERR9822146	ERR9822146	ERS12149063	335	1	1	138	138	CC25-05	ST335-05	0
ERR9785509	ERR9785509	ERR9785509	ERS12086357	335	1	1	139	139	CC25-05	ST335-05	0
ERR10176872	ERR10176872	ERR10176872	ERS13445955	335	1	1	140	140	CC25-05	ST335-05	0
ERR9966389	ERR9966389	ERR9966389	ERS12472976	335	1	1	141	141	CC25-05	ST335-05	0
ERR10460765	ERR10460765	ERR10460765	ERS13656027	335	1	1	142	142	CC25-05	ST335-05	0
ERR10109275	ERR10109275	ERR10109275	ERS12792508	335	1	1	143	143	CC25-05	ST335-05	0
ERR11807704	ERR11807704	ERR11807704	ERS16229032	335	1	1	144	144	CC25-05	ST335-05	0
ERR10109276	ERR10109276	ERR10109276	ERS12792509	335	1	1	145	145	CC25-05	ST335-05	0
ERR9785510	ERR9785510	ERR9785510	ERS12086358	335	1	1	146	146	CC25-05	ST335-05	0
ERR9820422	ERR9820422	ERR9820422	ERS12147978	335	1	1	147	147	CC25-05	ST335-05	0
ERR10880181	ERR10880181	ERR10880181	ERS14631653	335	1	1	148	148	CC25-05	ST335-05	0
ERR10088101	ERR10088101	ERR10088101	ERS12764179	335	1	1	149	149	CC25-05	ST335-05	0
ERR12312688	ERR12312688	ERR12312688	ERS17080491	335	1	1	150	150	CC25-05	ST335-05	0
ERR11201827	ERR11201827	ERR11201827	ERS14886263	335	1	1	151	151	CC25-05	ST335-05	0
ERR12312689	ERR12312689	ERR12312689	ERS17080492	335	1	1	152	152	CC25-05	ST335-05	0
ERR12495485	ERR12495485	ERR12495485	ERS17748277	335	1	1	153	153	CC25-05	ST335-05	0
ERR12312692	ERR12312692	ERR12312692	ERS17080495	335	1	1	154	154	CC25-05	ST335-05	0
ERR10123168	ERR10123168	ERR10123168	ERS12853251	335	1	1	155	155	CC25-05	ST335-05	0
ERR10123167	ERR10123167	ERR10123167	ERS12853250	335	1	1	156	156	CC25-05	ST335-05	0
ERR9966387	ERR9966387	ERR9966387	ERS12472974	335	1	1	157	157	CC25-05	ST335-05	0
ERR10949310	ERR10949310	ERR10949310	ERS14699590	335	1	1	158	158	CC25-05	ST335-05	0
ERR10460875	ERR10460875	ERR10460875	ERS13656137	335	1	1	159	159	CC25-05	ST335-05	0
ERR9966390	ERR9966390	ERR9966390	ERS12472977	335	1	1	160	160	CC25-05	ST335-05	0
ERR10176866	ERR10176866	ERR10176866	ERS13445949	335	1	1	161	161	CC25-05	ST335-05	0
ERR10460687	ERR10460687	ERR10460687	ERS13655949	335	1	1	162	162	CC25-05	ST335-05	0
ERR12078573	ERR12078573	ERR12078573	ERS16427369	335	1	1	163	163	CC25-06	ST335-06	0
ERR9785512	ERR9785512	ERR9785512	ERS12086360	335	1	1	164	164	CC25-06	ST335-06	0
ERR12165616	ERR12165616	ERR12165616	ERS16536124	335	1	1	165	165	CC25-06	ST335-06	0
ERR10460887	ERR10460887	ERR10460887	ERS13656149	335	1	1	166	166	CC25-06	ST335-06	0
ERR10880335	ERR10880335	ERR10880335	ERS14631805	335	1	1	167	167	CC25-06	ST335-06	0
ERR10880156	ERR10880156	ERR10880156	ERS14631629	335	1	1	168	168	CC25-06	ST335-06	0
ERR10880377	ERR10880377	ERR10880377	ERS14631847	335	1	1	169	169	CC25-06	ST335-06	0
ERR10088105	ERR10088105	ERR10088105	ERS12764183	335	1	1	170	170	CC25-06	ST335-06	0
ERR12321284	ERR12321284	ERR12321284	ERS17171918	335	1	1	171	171	CC25-06	ST335-06	0
ERR9966388	ERR9966388	ERR9966388	ERS12472975	335	1	1	172	172	CC25-06	ST335-06	0
ERR10026000	ERR10026000	ERR10026000	ERS12558864	335	1	1	173	173	CC25-06	ST335-06	0
ERR9822144	ERR9822144	ERR9822144	ERS12149061	335	1	1	174	174	CC25-06	ST335-06	0
ERR10088104	ERR10088104	ERR10088104	ERS12764182	335	1	1	175	175	CC25-06	ST335-06	0
ERR10088102	ERR10088102	ERR10088102	ERS12764180	335	1	1	176	176	CC25-06	ST335-06	0
ERR9822151	ERR9822151	ERR9822151	ERS12149068	335	1	1	177	177	CC25-06	ST335-06	0
ERR10109255	ERR10109255	ERR10109255	ERS12792488	335	1	1	178	178	CC25-06	ST335-06	0
ERR11810274	ERR11810274	ERR11810274	ERS16232368	335	1	1	179	179	CC25-06	ST335-06	0
ERR9966386	ERR9966386	ERR9966386	ERS12472973	335	1	1	180	180	CC25-06	ST335-06	0
ERR12259395	ERR12259395	ERR12259395	ERS16917052	335	1	1	181	181	CC25-06	ST335-06	0
ERR12091513	ERR12091513	ERR12091513	ERS16451565	335	1	1	182	182	CC25-06	ST335-06	0
ERR10125140	ERR10125140	ERR10125140	ERS13358373	335	1	1	183	183	CC25-06	ST335-06	0
ERR10949303	ERR10949303	ERR10949303	ERS14699583	335	1	1	184	184	CC25-06	ST335-06	0
ERR10109277	ERR10109277	ERR10109277	ERS12792510	335	1	1	185	185	CC25-06	ST335-06	0
ERR10087013	ERR10087013	ERR10087013	ERS12761376	335	1	1	186	186	CC25-06	ST335-06	0
ERR12146144	ERR12146144	ERR12146144	ERS16512534	335	1	1	187	187	CC25-06	ST335-06	0
ERR11219811	ERR11219811	ERR11219811	ERS14904191	335	1	1	188	188	CC25-06	ST335-06	0
ERR11420238	ERR11420238	ERR11420238	ERS15420059	335	1	1	189	189	CC25-06	ST335-06	0
ERR11437918	ERR11437918	ERR11437918	ERS15424282	335	1	1	190	190	CC25-06	ST335-06	0
ERR11807709	ERR11807709	ERR11807709	ERS16229037	335	1	1	191	191	CC25-06	ST335-06	0
ERR10880183	ERR10880183	ERR10880183	ERS14631655	335	1	1	192	192	CC25-06	ST335-06	0
ERR10880311	ERR10880311	ERR10880311	ERS14631781	335	1	1	193	193	CC25-06	ST335-06	0
ERR10109274	ERR10109274	ERR10109274	ERS12792507	335	1	1	194	194	CC25-07	ST335-07	0
ERR12552381	ERR12552381	ERR12552381	ERS18038303	335	1	1	195	195	CC25-07	ST335-07	0
ERR12552377	ERR12552377	ERR12552377	ERS18038298	335	1	1	196	196	CC25-07	ST335-07	0
ERR11896635	ERR11896635	ERR11896635	ERS16295999	335	1	1	197	197	CC25-07	ST335-07	0
ERR9079508	ERR9079508	ERR9079508	ERS10862599	335	1	1	198	198	CC25-07	ST335-07	0
ERR9420153	ERR9420153	ERR9420153	ERS11375563	335	1	1	199	199	CC25-07	ST335-07	0
ERR10117717	ERR10117717	ERR10117717	ERS12849498	335	1	1	200	200	CC25-07	ST335-07	0
ERR6806600	ERR6806600	ERR6806600	ERS7645321	335	1	1	201	201	CC25-07	ST335-07	0
ERR7197757	ERR7197757	ERR7197757	ERS8210611	335	1	1	202	202	CC25-07	ST335-07	0
ERR6806028	ERR6806028	ERR6806028	ERS7644751	335	1	1	203	203	CC25-07	ST335-07	0
ERR9288082	ERR9288082	ERR9288082	ERS11025439	335	1	1	204	204	CC25-07	ST335-07	0
ERR11455881	ERR11455881	ERR11455881	ERS15530597	335	1	1	205	205	CC25-07	ST335-07	0
ERR6806632	ERR6806632	ERR6806632	ERS7645353	335	1	1	206	206	CC25-07	ST335-07	0
ERR4451478	ERR4451478	ERR4451478	ERS4937049	335	1	1	207	207	CC25-07	ST335-07	0
ERR12302226	ERR12302226	ERR12302226	ERS17016853	335	1	1	208	208	CC25-07	ST335-07	0
ERR12552384	ERR12552384	ERR12552384	ERS18038306	335	1	1	209	209	CC25-07	ST335-07	0
ERR12067334	ERR12067334	ERR12067334	ERS16390356	335	1	1	210	210	CC25-07	ST335-07	0
ERR10880424	ERR10880424	ERR10880424	ERS14631894	335	1	1	211	211	CC25-07	ST335-07	0
ERR10123158	ERR10123158	ERR10123158	ERS12853241	335	1	1	212	212	CC25-07	ST335-07	0
ERR10176869	ERR10176869	ERR10176869	ERS13445952	335	1	1	213	213	CC25-07	ST335-07	0
ERR10880230	ERR10880230	ERR10880230	ERS14631701	335	1	1	214	214	CC25-07	ST335-07	0
ERR11453719	ERR11453719	ERR11453719	ERS15482004	335	1	1	215	215	CC25-07	ST335-07	0
ERR10880157	ERR10880157	ERR10880157	ERS14631630	335	1	1	216	216	CC25-07	ST335-07	0
ERR11872767	ERR11872767	ERR11872767	ERS16284746	335	1	1	217	217	CC25-07	ST335-07	0
ERR6752889	ERR6752889	ERR6752889	ERS7770109	335	1	1	218	218	CC25-07	ST335-07	0
ERR9288143	ERR9288143	ERR9288143	ERS11025500	335	1	1	219	219	CC25-07	ST335-07	0
ERR5751308	ERR5751308	ERR5751308	ERS6282954	335	1	1	220	220	CC25-07	ST335-07	0
ERR4399358	ERR4399358	ERR4399358	ERS4873397	335	1	1	221	221	CC25-07	ST335-07	0
ERR4399957	ERR4399957	ERR4399957	ERS4873996	335	1	1	222	222	CC25-07	ST335-07	0
ERR4399362	ERR4399362	ERR4399362	ERS4873401	335	1	1	223	223	CC25-07	ST335-07	0
SRR13833609	SRR13833609	SRR13833609	SRS8357639	335	1	1	224	224	CC25-07	ST335-07	0
SRR13719289	SRR13719289	SRR13719289	SRS8264772	216	1	0	225		CC25-08	Other	0
SRR13719614	SRR13719614	SRR13719614	SRS8265095	216	1	0	226		CC25-08	Other	0
SRR13313312	SRR13313312	SRR13313312	SRS7929273	216	1	0	227		CC25-08	Other	0
SRR13313295	SRR13313295	SRR13313295	SRS7929255	216	1	0	228		CC25-08	Other	0
SRR13719196	SRR13719196	SRR13719196	SRS8264689	216	1	0	229		CC25-08	Other	0
SRR13277434	SRR13277434	SRR13277434	SRS7902285	216	1	0	230		CC25-08	Other	0
SRR13277416	SRR13277416	SRR13277416	SRS7902267	216	1	0	231		CC25-08	Other	0
SRR13277412	SRR13277412	SRR13277412	SRS7902263	216	1	0	232		CC25-08	Other	0
SRR13311773	SRR13311773	SRR13311773	SRS7927857	216	1	0	233		CC25-08	Other	0
SRR13313309	SRR13313309	SRR13313309	SRS7929272	216	1	0	234		CC25-08	Other	0
SRR27481822	SRR27481822	SRR27481822	SRS20103709	216	1	0	235		CC25-08	Other	0
SRR27481651	SRR27481651	SRR27481651	SRS20103539	216	1	0	236		CC25-08	Other	0
SRR27481649	SRR27481649	SRR27481649	SRS20103537	216	1	0	237		CC25-08	Other	0
SRR27481520	SRR27481520	SRR27481520	SRS20103408	216	1	0	238		CC25-08	Other	0
SRR27481815	SRR27481815	SRR27481815	SRS20103703	216	1	0	239		CC25-08	Other	0
SRR7130368	SRR7130368	SRR7130368	SRS3268540	216	1	0	240		CC25-08	Other	0
SRR7130370	SRR7130370	SRR7130370	SRS3268551	216	1	0	241		CC25-08	Other	0
SRR7130371	SRR7130371	SRR7130371	SRS3268550	216	1	0	242		CC25-08	Other	0
SRR13312061	SRR13312061	SRR13312061	SRS7927934	216	1	0	243		CC25-08	Other	0
SRR7130369	SRR7130369	SRR7130369	SRS3268548	216	1	0	244		CC25-08	Other	0
ERR4400834	ERR4400834	ERR4400834	ERS4874873	216	1	0	245		CC25-08	Other	0
ERR4338896	ERR4338896	ERR4338896	ERS3475552	216	1	0	246		CC25-09	Other	0
ERR4338560	ERR4338560	ERR4338560	ERS3475259	216	1	0	247		CC25-09	Other	0
SRR1106479	SRR1106479	SRR1106479	SRS528706	216	1	0	248		CC25-09	Other	0
ERR3581536	ERR3581536	ERR3581536	ERS3859332	216	1	0	249		CC25-09	Other	0
SRR8369293	SRR8369293	SRR8369293	SRS4186707	216	1	0	250		CC25-09	Other	0
SRR7842526	SRR7842526	SRR7842526	SRS3786626	216	1	0	251		CC25-09	Other	0
SRR8297279	SRR8297279	SRR8297279	SRS4120730	216	1	0	252		CC25-09	Other	0
SRR7850690	SRR7850690	SRR7850690	SRS3787773	216	1	0	253		CC25-09	Other	0
SRR7884719	SRR7884719	SRR7884719	SRS3807500	216	1	0	254		CC25-09	Other	0
SRR8350305	SRR8350305	SRR8350305	SRS4170645	216	1	0	255		CC25-09	Other	0
SRR15853458	SRR15853458	SRR15853458	SRS10124007	216	1	0	256		CC25-09	Other	0
SRR21224019	SRR21224019	SRR21224019	SRS14800828	216	1	0	257		CC25-09	Other	0
SRR20212638	SRR20212638	SRR20212638	SRS13887098	216	1	0	258		CC25-09	Other	0
SRR8706049	SRR8706049	SRR8706049	SRS4470608	216	1	0	259		CC25-09	Other	0
SRR16227977	SRR16227977	SRR16227977	SRS10471325	216	1	0	260		CC25-09	Other	0
ERR4399344	ERR4399344	ERR4399344	ERS4873383	216	1	0	261		CC25-09	Other	0
SRR7841631	SRR7841631	SRR7841631	SRS3785776	216	1	0	262		CC25-09	Other	0
